season,model,source_file,selection_rule,fixtures_processed,candidates,priced,sgp_hits,sgp_hit_rate,ml_wins,ml_win_rate,avg_ml_odds,avg_implied_prob,edge_vs_market,roi_units,roi,max_drawdown,longest_losing_streak,avg_p_joint_hit,avg_p_joint_miss
2024-25,V2,bully_engine_v2.py,is_bully_spot & elo_gap >= 160,1752,176,176,98,0.556818,121,0.6875,1.34983,0.751478,-0.063978,-17.1,-0.097159,22.96,3,0.49144,0.486771
2024-25,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate & elo_gap >= 160,1752,335,335,193,0.576119,239,0.713433,1.376567,0.738249,-0.024816,-14.61,-0.043612,17.96,4,0.510927,0.499025
2024-25,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate & elo_gap >= 160,1752,335,335,193,0.576119,239,0.713433,1.376567,0.738249,-0.024816,-14.61,-0.043612,17.96,4,0.415554,0.404266
2024-25,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate & elo_gap >= 160,1752,335,335,193,0.576119,239,0.713433,1.376567,0.738249,-0.024816,-14.61,-0.043612,17.96,4,0.415554,0.404266
2024-25,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate & elo_gap >= 160,1752,335,335,193,0.576119,239,0.713433,1.376567,0.738249,-0.024816,-14.61,-0.043612,17.96,4,0.422345,0.413067
2024-25,V3.2.5,bully_engine_v3_2_5GPT.py,is_bully_candidate & elo_gap >= 160,1752,335,335,193,0.576119,239,0.713433,1.376567,0.738249,-0.024816,-14.61,-0.043612,17.96,4,0.422345,0.413067
2024-25,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42 & elo_gap >= 160,1752,205,205,119,0.580488,150,0.731707,1.336585,0.757786,-0.026078,-8.07,-0.039366,12.6,4,0.532362,0.523991
2025-26,V2,bully_engine_v2.py,is_bully_spot & elo_gap >= 160,1616,117,117,78,0.666667,89,0.760684,1.347949,0.753857,0.006826,-0.49,-0.004188,4.21,2,0.480652,0.483385
2025-26,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate & elo_gap >= 160,1616,310,310,188,0.606452,223,0.719355,1.420516,0.716651,0.002704,0.99,0.003194,14.13,4,0.503402,0.483313
2025-26,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate & elo_gap >= 160,1616,310,310,188,0.606452,223,0.719355,1.420516,0.716651,0.002704,0.99,0.003194,14.13,4,0.399422,0.390483
2025-26,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate & elo_gap >= 160,1616,310,310,188,0.606452,223,0.719355,1.420516,0.716651,0.002704,0.99,0.003194,14.13,4,0.399422,0.390483
2025-26,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate & elo_gap >= 160,1616,310,310,188,0.606452,223,0.719355,1.420516,0.716651,0.002704,0.99,0.003194,14.13,4,0.410116,0.398122
2025-26,V3.2.5,bully_engine_v3_2_5GPT.py,is_bully_candidate & elo_gap >= 160,1616,310,310,188,0.606452,223,0.719355,1.420516,0.716651,0.002704,0.99,0.003194,14.13,4,0.410116,0.398122
2025-26,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42 & elo_gap >= 160,1616,177,177,108,0.610169,128,0.723164,1.382034,0.73672,-0.013556,-3.5,-0.019774,10.38,3,0.529155,0.513335
aggregate,V2,bully_engine_v2.py,is_bully_spot & elo_gap >= 160,3368,293,293,176,0.600683,210,0.716724,1.349078,0.752428,-0.035705,-17.59,-0.060034,23.57,3,0.486659,0.485642
aggregate,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate & elo_gap >= 160,3368,645,645,381,0.590698,462,0.716279,1.39769,0.727868,-0.011589,-13.62,-0.021116,17.96,4,0.507214,0.491764
aggregate,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate & elo_gap >= 160,3368,645,645,381,0.590698,462,0.716279,1.39769,0.727868,-0.011589,-13.62,-0.021116,17.96,4,0.407594,0.397897
aggregate,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate & elo_gap >= 160,3368,645,645,381,0.590698,462,0.716279,1.39769,0.727868,-0.011589,-13.62,-0.021116,17.96,4,0.407594,0.397897
aggregate,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate & elo_gap >= 160,3368,645,645,381,0.590698,462,0.716279,1.39769,0.727868,-0.011589,-13.62,-0.021116,17.96,4,0.416311,0.40616
aggregate,V3.2.5,bully_engine_v3_2_5GPT.py,is_bully_candidate & elo_gap >= 160,3368,645,645,381,0.590698,462,0.716279,1.39769,0.727868,-0.011589,-13.62,-0.021116,17.96,4,0.416311,0.40616
aggregate,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42 & elo_gap >= 160,3368,382,382,227,0.594241,278,0.727749,1.357644,0.748025,-0.020276,-11.57,-0.030288,15.56,4,0.530836,0.519247
