season,fixture_id,kickoff_at,league,country,home_team,away_team,model,source_file,selection_rule,favorite_side,favorite_team,underdog_team,market_favorite_side,model_matches_market_favorite,elo_gap,sgp_hit,favorite_win,favorite_goals,model_p_joint,sgp_pricing_source,sgp_odds,favorite_ml_odds,opposite_ml_odds,team_total_over_1_5_odds,team_total_under_1_5_odds,bookmaker_id,bookmaker_name,odds_type
2025-26,5228,2025-08-15T20:30:00,La Liga,Spain,Villarreal,Real Oviedo,V2,bully_engine_v2.py,is_bully_spot,home,Villarreal,Real Oviedo,home,1,174.359807,1,1,2,0.526915,synthesized,1.42087,1.37,8.98,1.59,2.47,1,Pinnacle,closing
2025-26,5228,2025-08-15T20:30:00,La Liga,Spain,Villarreal,Real Oviedo,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate,home,Villarreal,Real Oviedo,home,1,174.359807,1,1,2,0.574833,synthesized,1.42087,1.37,8.98,1.59,2.47,1,Pinnacle,closing
2025-26,5228,2025-08-15T20:30:00,La Liga,Spain,Villarreal,Real Oviedo,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate,home,Villarreal,Real Oviedo,home,1,174.359807,1,1,2,0.469377,synthesized,1.42087,1.37,8.98,1.59,2.47,1,Pinnacle,closing
2025-26,5228,2025-08-15T20:30:00,La Liga,Spain,Villarreal,Real Oviedo,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate,home,Villarreal,Real Oviedo,home,1,174.359807,1,1,2,0.469377,synthesized,1.42087,1.37,8.98,1.59,2.47,1,Pinnacle,closing
2025-26,5228,2025-08-15T20:30:00,La Liga,Spain,Villarreal,Real Oviedo,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate,home,Villarreal,Real Oviedo,home,1,174.359807,1,1,2,0.485153,synthesized,1.42087,1.37,8.98,1.59,2.47,1,Pinnacle,closing
2025-26,5228,2025-08-15T20:30:00,La Liga,Spain,Villarreal,Real Oviedo,V3.2.5,bully_engine_v3_2_5GPT.py,is_bully_candidate,home,Villarreal,Real Oviedo,home,1,174.359807,1,1,2,0.485153,synthesized,1.42087,1.37,8.98,1.59,2.47,1,Pinnacle,closing
2025-26,5228,2025-08-15T20:30:00,La Liga,Spain,Villarreal,Real Oviedo,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42,home,Villarreal,Real Oviedo,home,1,174.359807,1,1,2,0.540234,synthesized,1.42087,1.37,8.98,1.59,2.47,1,Pinnacle,closing
2025-26,5229,2025-08-16T18:30:00,La Liga,Spain,Mallorca,Barcelona,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate,away,Barcelona,Mallorca,away,1,201.490305,1,1,3,0.492004,synthesized,1.385453,1.41,8.24,1.53,2.65,1,Pinnacle,closing
2025-26,5229,2025-08-16T18:30:00,La Liga,Spain,Mallorca,Barcelona,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate,away,Barcelona,Mallorca,away,1,201.490305,1,1,3,0.346863,synthesized,1.385453,1.41,8.24,1.53,2.65,1,Pinnacle,closing
2025-26,5229,2025-08-16T18:30:00,La Liga,Spain,Mallorca,Barcelona,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate,away,Barcelona,Mallorca,away,1,201.490305,1,1,3,0.346863,synthesized,1.385453,1.41,8.24,1.53,2.65,1,Pinnacle,closing
2025-26,5229,2025-08-16T18:30:00,La Liga,Spain,Mallorca,Barcelona,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate,away,Barcelona,Mallorca,away,1,201.490305,1,1,3,0.377125,synthesized,1.385453,1.41,8.24,1.53,2.65,1,Pinnacle,closing
2025-26,5229,2025-08-16T18:30:00,La Liga,Spain,Mallorca,Barcelona,V3.2.5,bully_engine_v3_2_5GPT.py,is_bully_candidate,away,Barcelona,Mallorca,away,1,201.490305,1,1,3,0.377125,synthesized,1.385453,1.41,8.24,1.53,2.65,1,Pinnacle,closing
2025-26,5229,2025-08-16T18:30:00,La Liga,Spain,Mallorca,Barcelona,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42,away,Barcelona,Mallorca,away,1,201.490305,1,1,3,0.45521,synthesized,1.385453,1.41,8.24,1.53,2.65,1,Pinnacle,closing
2025-26,5232,2025-08-17T16:00:00,La Liga,Spain,Celta Vigo,Getafe,V2,bully_engine_v2.py,is_bully_spot,home,Celta Vigo,Getafe,home,1,137.185005,0,0,0,0.458492,synthesized,2.110881,1.66,6.43,2.14,1.73,1,Pinnacle,closing
2025-26,5232,2025-08-17T16:00:00,La Liga,Spain,Celta Vigo,Getafe,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate,home,Celta Vigo,Getafe,home,1,137.185005,0,0,0,0.455117,synthesized,2.110881,1.66,6.43,2.14,1.73,1,Pinnacle,closing
2025-26,5232,2025-08-17T16:00:00,La Liga,Spain,Celta Vigo,Getafe,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate,home,Celta Vigo,Getafe,home,1,137.185005,0,0,0,0.400197,synthesized,2.110881,1.66,6.43,2.14,1.73,1,Pinnacle,closing
2025-26,5232,2025-08-17T16:00:00,La Liga,Spain,Celta Vigo,Getafe,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate,home,Celta Vigo,Getafe,home,1,137.185005,0,0,0,0.400197,synthesized,2.110881,1.66,6.43,2.14,1.73,1,Pinnacle,closing
2025-26,5232,2025-08-17T16:00:00,La Liga,Spain,Celta Vigo,Getafe,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate,home,Celta Vigo,Getafe,home,1,137.185005,0,0,0,0.400858,synthesized,2.110881,1.66,6.43,2.14,1.73,1,Pinnacle,closing
2025-26,5232,2025-08-17T16:00:00,La Liga,Spain,Celta Vigo,Getafe,V3.2.5,bully_engine_v3_2_5GPT.py,is_bully_candidate,home,Celta Vigo,Getafe,home,1,137.185005,0,0,0,0.400858,synthesized,2.110881,1.66,6.43,2.14,1.73,1,Pinnacle,closing
2025-26,5232,2025-08-17T16:00:00,La Liga,Spain,Celta Vigo,Getafe,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42,home,Celta Vigo,Getafe,home,1,137.185005,0,0,0,0.442902,synthesized,2.110881,1.66,6.43,2.14,1.73,1,Pinnacle,closing
2025-26,5233,2025-08-17T18:30:00,La Liga,Spain,Athletic Club,Sevilla,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate,home,Athletic Club,Sevilla,home,1,238.440016,1,1,3,0.328577,synthesized,1.890777,1.62,6.64,1.93,1.88,1,Pinnacle,closing
2025-26,5233,2025-08-17T18:30:00,La Liga,Spain,Athletic Club,Sevilla,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate,home,Athletic Club,Sevilla,home,1,238.440016,1,1,3,0.330077,synthesized,1.890777,1.62,6.64,1.93,1.88,1,Pinnacle,closing
2025-26,5233,2025-08-17T18:30:00,La Liga,Spain,Athletic Club,Sevilla,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate,home,Athletic Club,Sevilla,home,1,238.440016,1,1,3,0.330077,synthesized,1.890777,1.62,6.64,1.93,1.88,1,Pinnacle,closing
2025-26,5233,2025-08-17T18:30:00,La Liga,Spain,Athletic Club,Sevilla,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate,home,Athletic Club,Sevilla,home,1,238.440016,1,1,3,0.302067,synthesized,1.890777,1.62,6.64,1.93,1.88,1,Pinnacle,closing
