season,fixture_id,kickoff_at,league,country,home_team,away_team,model,source_file,selection_rule,favorite_side,favorite_team,underdog_team,market_favorite_side,model_matches_market_favorite,elo_gap,sgp_hit,favorite_win,favorite_goals,model_p_joint,sgp_pricing_source,sgp_odds,favorite_ml_odds,opposite_ml_odds,team_total_over_1_5_odds,team_total_under_1_5_odds,bookmaker_id,bookmaker_name,odds_type,elo_gate_threshold_used,elo_gate_threshold_source,league_history_n_fixtures
2025-26,455,2025-10-18T19:00:00,La Liga,Spain,Atlético Madrid,Osasuna,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Atlético Madrid,Osasuna,home,1,173.37919,0,1,1,0.442054,synthesized,1.340712,1.340000,10.460000,1.520000,2.600000,1,Pinnacle,closing,169.482902,target_hit_rate,84
2025-26,440,2025-12-07T20:00:00,La Liga,Spain,Real Madrid,Celta Vigo,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Real Madrid,Celta Vigo,home,1,286.643148,0,0,0,0.460007,synthesized,1.159060,1.250000,9.500000,1.280000,3.500000,2,Bet365,closing,222.977408,target_hit_rate,150
2025-26,445,2025-12-13T17:30:00,La Liga,Spain,Barcelona,Osasuna,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Barcelona,Osasuna,home,1,326.145004,1,1,2,0.514887,synthesized,1.046269,1.200000,13.000000,1.200000,4.330000,2,Bet365,closing,225.40173,target_hit_rate,155
2025-26,343,2026-01-17T13:00:00,La Liga,Spain,Real Madrid,Levante,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Real Madrid,Levante,home,1,341.468116,1,1,2,0.469007,synthesized,1.018613,1.140000,15.000000,1.180000,4.500000,2,Bet365,closing,222.528023,target_hit_rate,190
2025-26,357,2026-01-25T13:00:00,La Liga,Spain,Atlético Madrid,Mallorca,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Atlético Madrid,Mallorca,home,1,259.426372,1,1,3,0.424989,synthesized,1.353369,1.360000,10.000000,1.530000,2.600000,1,Pinnacle,closing,231.697493,target_hit_rate,204
2025-26,358,2026-01-25T15:15:00,La Liga,Spain,Barcelona,Real Oviedo,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Barcelona,Real Oviedo,home,1,376.603185,1,1,3,0.493538,synthesized,1.010101,1.110000,19.000000,1.140000,5.500000,2,Bet365,closing,225.40173,target_hit_rate,205
2025-26,367,2026-02-01T13:00:00,La Liga,Spain,Real Madrid,Rayo Vallecano,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Real Madrid,Rayo Vallecano,home,1,331.57353,1,1,2,0.5821,synthesized,1.137888,1.220000,11.000000,1.280000,3.500000,2,Bet365,closing,225.40173,target_hit_rate,214
2025-26,373,2026-02-07T15:15:00,La Liga,Spain,Barcelona,Mallorca,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Barcelona,Mallorca,home,1,351.531048,1,1,3,0.506776,synthesized,1.029682,1.140000,13.000000,1.180000,4.500000,2,Bet365,closing,225.40173,target_hit_rate,220
2025-26,295,2026-02-14T20:00:00,La Liga,Spain,Real Madrid,Real Sociedad,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Real Madrid,Real Sociedad,home,1,296.22069,1,1,4,0.430437,synthesized,1.244118,1.400000,7.000000,1.300000,3.400000,2,Bet365,closing,217.061099,target_hit_rate,232
2025-26,328,2026-03-08T13:00:00,La Liga,Spain,Villarreal,Elche,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Villarreal,Elche,home,1,239.501896,1,1,2,0.420316,synthesized,1.428804,1.460000,6.890000,1.510000,2.640000,1,Pinnacle,closing,229.760252,target_hit_rate,265
2025-26,337,2026-03-14T20:00:00,La Liga,Spain,Real Madrid,Elche,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Real Madrid,Elche,home,1,337.251335,1,1,4,0.475034,synthesized,1.198217,1.270000,9.500000,1.330000,3.250000,2,Bet365,closing,225.40173,target_hit_rate,274
2025-26,339,2026-03-15T15:15:00,La Liga,Spain,Barcelona,Sevilla,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Barcelona,Sevilla,home,1,365.929291,1,1,5,0.481755,synthesized,1.144444,1.300000,9.000000,1.250000,3.750000,2,Bet365,closing,231.697493,target_hit_rate,276
2025-26,269,2026-03-22T13:00:00,La Liga,Spain,Barcelona,Rayo Vallecano,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Barcelona,Rayo Vallecano,home,1,324.811182,0,1,1,0.477311,synthesized,1.072794,1.200000,10.000000,1.200000,4.330000,2,Bet365,closing,225.40173,target_hit_rate,286
2025-26,286,2026-04-11T16:30:00,La Liga,Spain,Barcelona,Espanyol,V2.5,bully_engine_v2_5.py,is_bully_spot (league target-hit-rate Elo gate),home,Barcelona,Espanyol,home,1,371.863628,1,1,4,0.50862,synthesized,1.203522,1.370000,7.970000,1.300000,3.520000,1,Pinnacle,closing,231.697493,target_hit_rate,303
