season,fixture_id,kickoff_at,league,country,home_team,away_team,model,source_file,selection_rule,favorite_side,favorite_team,underdog_team,market_favorite_side,model_matches_market_favorite,elo_gap,sgp_hit,favorite_win,favorite_goals,model_p_joint,sgp_pricing_source,sgp_odds,favorite_ml_odds,opposite_ml_odds,team_total_over_1_5_odds,team_total_under_1_5_odds,bookmaker_id,bookmaker_name,odds_type
2025-26,5421,2025-08-15T19:45:00,Ligue 1,France,Stade Rennais,Marseille,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42,away,Marseille,Stade Rennais,away,1,81.694122,0,0,0,0.535897,synthesized,2.307341,2.01,3.91,1.94,1.88,1,Pinnacle,closing
2025-26,5424,2025-08-16T20:05:00,Ligue 1,France,Nice,Toulouse,V2,bully_engine_v2.py,is_bully_spot,home,Nice,Toulouse,home,1,133.118932,0,0,0,0.458492,synthesized,2.349899,1.98,4.22,2.05,1.81,1,Pinnacle,closing
2025-26,5424,2025-08-16T20:05:00,Ligue 1,France,Nice,Toulouse,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate,home,Nice,Toulouse,home,1,133.118932,0,0,0,0.523451,synthesized,2.349899,1.98,4.22,2.05,1.81,1,Pinnacle,closing
2025-26,5424,2025-08-16T20:05:00,Ligue 1,France,Nice,Toulouse,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate,home,Nice,Toulouse,home,1,133.118932,0,0,0,0.42334,synthesized,2.349899,1.98,4.22,2.05,1.81,1,Pinnacle,closing
2025-26,5424,2025-08-16T20:05:00,Ligue 1,France,Nice,Toulouse,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate,home,Nice,Toulouse,home,1,133.118932,0,0,0,0.42334,synthesized,2.349899,1.98,4.22,2.05,1.81,1,Pinnacle,closing
2025-26,5424,2025-08-16T20:05:00,Ligue 1,France,Nice,Toulouse,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate,home,Nice,Toulouse,home,1,133.118932,0,0,0,0.445411,synthesized,2.349899,1.98,4.22,2.05,1.81,1,Pinnacle,closing
2025-26,5424,2025-08-16T20:05:00,Ligue 1,France,Nice,Toulouse,V3.2.5,bully_engine_v3_2_5GPT.py,is_bully_candidate,home,Nice,Toulouse,home,1,133.118932,0,0,0,0.445411,synthesized,2.349899,1.98,4.22,2.05,1.81,1,Pinnacle,closing
2025-26,5424,2025-08-16T20:05:00,Ligue 1,France,Nice,Toulouse,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42,home,Nice,Toulouse,home,1,133.118932,0,0,0,0.480075,synthesized,2.349899,1.98,4.22,2.05,1.81,1,Pinnacle,closing
2025-26,5425,2025-08-17T14:00:00,Ligue 1,France,Brest,Lille,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42,away,Lille,Brest,home,0,17.003324,0,0,3,0.446116,synthesized,4.498256,2.87,2.72,2.82,1.47,1,Pinnacle,closing
2025-26,5428,2025-08-17T16:15:00,Ligue 1,France,Metz,Strasbourg,V3.3GPT,bully_engine_v3_3GPT.py,p_joint >= 0.42,away,Strasbourg,Metz,away,1,131.33213,0,1,1,0.434801,synthesized,2.629546,2.16,3.55,2.1,1.78,1,Pinnacle,closing
2025-26,5429,2025-08-17T19:45:00,Ligue 1,France,Nantes,Paris Saint-Germain,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate,away,Paris Saint-Germain,Nantes,away,1,249.930225,0,1,1,0.424101,synthesized,1.120411,1.22,13.0,1.28,3.5,2,Bet365,closing
2025-26,5429,2025-08-17T19:45:00,Ligue 1,France,Nantes,Paris Saint-Germain,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate,away,Paris Saint-Germain,Nantes,away,1,249.930225,0,1,1,0.277868,synthesized,1.120411,1.22,13.0,1.28,3.5,2,Bet365,closing
2025-26,5429,2025-08-17T19:45:00,Ligue 1,France,Nantes,Paris Saint-Germain,V3.1,bully_engine_v3_1_cl_gpt.py,is_bully_candidate,away,Paris Saint-Germain,Nantes,away,1,249.930225,0,1,1,0.277868,synthesized,1.120411,1.22,13.0,1.28,3.5,2,Bet365,closing
2025-26,5429,2025-08-17T19:45:00,Ligue 1,France,Nantes,Paris Saint-Germain,V3.2,bully_engine_v3_2_cl_gpt.py,is_bully_candidate,away,Paris Saint-Germain,Nantes,away,1,249.930225,0,1,1,0.310557,synthesized,1.120411,1.22,13.0,1.28,3.5,2,Bet365,closing
2025-26,5429,2025-08-17T19:45:00,Ligue 1,France,Nantes,Paris Saint-Germain,V3.2.5,bully_engine_v3_2_5GPT.py,is_bully_candidate,away,Paris Saint-Germain,Nantes,away,1,249.930225,0,1,1,0.310557,synthesized,1.120411,1.22,13.0,1.28,3.5,2,Bet365,closing
2025-26,5430,2025-08-22T19:45:00,Ligue 1,France,Paris Saint-Germain,Angers,GPT V2,bully_engine_v2_gpt.py,is_bully_candidate,home,Paris Saint-Germain,Angers,home,1,296.904549,0,1,1,0.471866,synthesized,1.010101,1.08,23.0,1.11,6.5,2,Bet365,closing
2025-26,5430,2025-08-22T19:45:00,Ligue 1,France,Paris Saint-Germain,Angers,V3,bully_engine_v3_cl_gpt.py,is_bully_candidate,home,Paris Saint-Germain,Angers,home,1,296.904549,0,1,1,0.334008,synthesized,1.010101,1.08,23.0,1.11,6.5,2,Bet365,closing
