id,fixture_id,home_score,away_score,outcome,ht_home_score,ht_away_score,ht_outcome,total_goals,ht_total_goals,red_card_minute,verified_at
250,262,1,1,draw,0,1,away,2,1,,2026-04-21 01:27:30.501027
251,263,3,1,home,3,0,home,4,3,,2026-04-21 01:27:30.515722
252,264,2,1,home,0,0,draw,3,0,,2026-04-21 01:27:30.528005
253,265,1,2,away,0,2,away,3,2,,2026-04-21 01:27:30.544043
254,266,4,2,home,2,2,draw,6,4,,2026-04-21 01:27:30.562018
255,267,1,0,home,0,0,draw,1,0,,2026-04-21 01:27:30.553621
256,268,0,2,away,0,2,away,2,2,,2026-04-21 01:27:30.571021
257,269,1,0,home,1,0,home,1,1,,2026-04-21 01:27:30.580508
258,270,3,4,away,3,1,home,7,4,,2026-04-21 01:27:30.590118
259,271,2,1,home,2,0,home,3,2,,2026-04-21 01:27:30.600315
260,272,3,2,home,0,1,away,5,1,,2026-04-21 01:27:30.609566
261,273,1,0,home,0,0,draw,1,0,,2026-04-21 01:27:30.618910
262,274,2,0,home,1,0,home,2,1,,2026-04-21 01:27:30.629149
263,275,2,1,home,1,0,home,3,1,,2026-04-21 01:27:30.638136
264,276,0,0,draw,0,0,draw,0,0,,2026-04-21 01:27:30.645667
265,277,1,2,away,1,1,draw,3,2,,2026-04-21 01:27:30.664194
266,278,2,0,home,1,0,home,2,1,,2026-04-21 01:27:30.681249
267,279,2,3,away,1,0,home,5,1,,2026-04-21 01:27:30.696176
268,280,1,0,home,1,0,home,1,1,,2026-04-21 01:27:30.710509
269,281,2,2,draw,1,1,draw,4,2,,2026-04-21 01:27:30.721586
270,282,1,0,home,1,0,home,1,1,,2026-04-21 01:27:30.732055
271,283,1,1,draw,0,0,draw,2,0,,2026-04-21 01:27:30.742432
272,284,3,3,draw,2,2,draw,6,4,,2026-04-21 01:27:30.751953
273,285,1,0,home,0,0,draw,1,0,,2026-04-21 01:27:30.761213
274,286,4,1,home,2,0,home,5,2,,2026-04-21 01:27:30.770359
275,287,2,1,home,2,1,home,3,3,,2026-04-21 01:27:30.785174
276,288,1,1,draw,1,1,draw,2,2,,2026-04-21 01:27:30.794910
277,289,3,0,home,2,0,home,3,2,,2026-04-21 01:27:30.806005
278,290,0,3,away,0,2,away,3,2,,2026-04-21 01:27:30.816763
279,291,1,2,away,0,2,away,3,2,,2026-04-21 01:27:30.828344
280,6,1,0,home,0,0,draw,1,0,,2026-04-21 01:27:30.838641
281,292,2,2,draw,0,1,away,4,1,,2026-04-21 01:27:30.029936
282,293,2,1,home,1,0,home,3,1,,2026-04-21 01:27:30.040612
283,294,1,1,draw,1,0,home,2,1,,2026-04-21 01:27:30.053812
284,295,4,1,home,3,1,home,5,4,,2026-04-21 01:27:30.064398
285,296,1,2,away,1,0,home,3,1,,2026-04-21 01:27:30.078814
286,297,3,0,home,2,0,home,3,2,,2026-04-21 01:27:30.098943
287,298,0,2,away,0,0,draw,2,0,,2026-04-21 01:27:30.108879
288,299,1,2,away,0,2,away,3,2,,2026-04-21 01:27:30.124936
289,300,2,1,home,0,0,draw,3,0,,2026-04-21 01:27:30.136275
290,301,0,1,away,0,0,draw,1,0,,2026-04-21 01:27:30.145946
291,302,2,1,home,0,0,draw,3,0,,2026-04-21 01:27:30.156723
