season,league,edge_bucket,p_draw_bucket,fixtures,pickem_fixtures,classified_fixtures,draws,favorite_wins,underdog_wins,pickem_non_draw_games,draw_rate,favorite_win_pct_of_non_draws,underdog_win_pct_of_non_draws,favorite_win_rate_of_classified_fixtures,underdog_win_rate_of_classified_fixtures,avg_model_draw_probability,avg_market_draw_probability,avg_draw_edge,positive_edge_fixtures,surviving_rule_fixtures,avg_draw_odds,draw_roi_units,draw_roi,favorite_ml_bets,avg_favorite_ml_odds,favorite_ml_roi_units,favorite_ml_roi,underdog_ml_bets,avg_underdog_ml_odds,underdog_ml_roi_units,underdog_ml_roi
2023-24,All,All,All,3416,8,3408,880,1862,668,6,0.257611,0.735968,0.264032,0.546362,0.196009,0.279387,0.244433,0.034955,2556,246,4.288961,44.22,0.012945,3408,1.9314,-26.1,-0.007658,3408,5.568471,-597.75,-0.175396
2023-24,Bundesliga,0.00-0.01,0.21-0.24,6,0,6,0,5,1,0,0.0,0.833333,0.166667,0.833333,0.166667,0.228934,0.224321,0.004613,6,0,4.328333,-6.0,-1.0,6,1.753333,2.81,0.468333,6,4.41,-1.37,-0.228333
2023-24,Bundesliga,0.00-0.01,0.24-0.27,12,0,12,5,6,1,0,0.416667,0.857143,0.142857,0.5,0.083333,0.259908,0.253394,0.006514,12,0,3.841667,7.09,0.590833,12,2.1975,0.94,0.078333,12,3.254167,-9.21,-0.7675
2023-24,Bundesliga,0.00-0.01,0.27-0.30,12,0,12,3,5,4,0,0.25,0.555556,0.444444,0.416667,0.333333,0.278815,0.2742,0.004616,12,0,3.553333,-1.28,-0.106667,12,2.35,-0.47,-0.039167,12,3.186667,1.12,0.093333
2023-24,Bundesliga,0.00-0.01,All,30,0,30,8,16,6,0,0.266667,0.727273,0.272727,0.533333,0.2,0.261276,0.255902,0.005374,30,0,3.823667,-0.19,-0.006333,30,2.169667,3.28,0.109333,30,3.458333,-9.46,-0.315333
2023-24,Bundesliga,0.01-0.02,0.18-0.21,1,0,1,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.189929,0.174412,0.015517,1,0,5.56,-1.0,-1.0,1,1.35,0.35,0.35,1,9.04,-1.0,-1.0
2023-24,Bundesliga,0.01-0.02,0.24-0.27,8,0,8,1,5,2,0,0.125,0.714286,0.285714,0.625,0.25,0.261067,0.245757,0.015311,8,0,3.94875,-4.16,-0.52,8,1.95625,1.79,0.22375,8,3.9075,-0.15,-0.01875
2023-24,Bundesliga,0.01-0.02,0.27-0.30,13,0,13,4,6,3,0,0.307692,0.666667,0.333333,0.461538,0.230769,0.284081,0.268548,0.015533,13,0,3.629231,1.83,0.140769,13,2.266923,0.94,0.072308,13,3.367692,-3.07,-0.236154
2023-24,Bundesliga,0.01-0.02,0.30-0.33,1,0,1,0,1,0,0,0.0,1.0,0.0,1.0,0.0,0.308503,0.294051,0.014452,1,0,3.31,-1.0,-1.0,1,2.4,1.4,1.4,1,3.24,-1.0,-1.0
2023-24,Bundesliga,0.01-0.02,All,23,0,23,5,13,5,0,0.217391,0.722222,0.277778,0.565217,0.217391,0.273044,0.257637,0.015408,23,0,3.810435,-4.33,-0.188261,23,2.124783,4.48,0.194783,23,3.796522,-5.22,-0.226957
