season,league,p_draw_bucket,fixtures,avg_model_draw_probability,observed_draw_rate,avg_market_draw_probability,avg_edge,blind_draw_roi
2023-24,All,0.18-0.21,30,0.198482,0.266667,0.144953,0.053528,0.501333
2023-24,All,0.21-0.24,245,0.228749,0.171429,0.190045,0.038703,-0.129837
2023-24,All,0.24-0.27,918,0.257534,0.24183,0.227561,0.029973,0.027418
2023-24,All,0.27-0.30,1458,0.284317,0.266804,0.252412,0.031905,0.00487
2023-24,All,0.30-0.33,634,0.312143,0.307571,0.268962,0.043181,0.124653
2023-24,All,<0.18,7,0.166804,0.0,0.109026,0.057778,-1.0
2023-24,All,>=0.33,124,0.341719,0.193548,0.289274,0.052446,-0.349274
2023-24,Bundesliga,0.18-0.21,9,0.19829,0.444444,0.164965,0.033326,1.217778
2023-24,Bundesliga,0.21-0.24,49,0.227701,0.122449,0.195008,0.032694,-0.415918
2023-24,Bundesliga,0.24-0.27,143,0.255874,0.272727,0.226861,0.029013,0.124126
2023-24,Bundesliga,0.27-0.30,85,0.282347,0.305882,0.247432,0.034914,0.196235
2023-24,Bundesliga,0.30-0.33,11,0.30853,0.363636,0.267477,0.041053,0.320909
2023-24,Bundesliga,<0.18,2,0.168464,0.0,0.092518,0.075947,-1.0
2023-24,Bundesliga,>=0.33,1,0.352242,1.0,0.291283,0.060959,2.34
2023-24,Championship,0.21-0.24,9,0.235091,0.111111,0.227757,0.007335,-0.607778
2023-24,Championship,0.24-0.27,108,0.258472,0.231481,0.24016,0.018312,-0.111852
2023-24,Championship,0.27-0.30,280,0.284647,0.235714,0.259428,0.025218,-0.1265
2023-24,Championship,0.30-0.33,132,0.311978,0.272727,0.269622,0.042356,-0.013106
2023-24,Championship,>=0.33,17,0.340123,0.058824,0.293568,0.046555,-0.812353
2023-24,Eredivisie,0.18-0.21,9,0.195428,0.222222,0.104282,0.091145,0.207778
2023-24,Eredivisie,0.21-0.24,47,0.228312,0.148936,0.177818,0.050494,0.025319
2023-24,Eredivisie,0.24-0.27,145,0.256568,0.255172,0.221288,0.03528,0.075172
2023-24,Eredivisie,0.27-0.30,86,0.280649,0.290698,0.231789,0.04886,0.199419
2023-24,Eredivisie,0.30-0.33,14,0.309203,0.285714,0.252223,0.05698,-0.000714
2023-24,Eredivisie,<0.18,1,0.158943,0.0,0.096243,0.062699,-1.0
2023-24,Eredivisie,>=0.33,1,0.333917,0.0,0.15367,0.180247,-1.0
2023-24,La Liga,0.21-0.24,6,0.227533,0.5,0.195498,0.032035,1.568333
2023-24,La Liga,0.24-0.27,69,0.258534,0.304348,0.237118,0.021416,0.192029
2023-24,La Liga,0.27-0.30,157,0.285789,0.254777,0.262281,0.023508,-0.064268
2023-24,La Liga,0.30-0.33,111,0.312137,0.297297,0.273125,0.039012,0.072793
2023-24,La Liga,>=0.33,30,0.343817,0.233333,0.296332,0.047485,-0.243667
2023-24,Ligue 1,0.21-0.24,4,0.231971,0.25,0.184803,0.047168,0.4525
2023-24,Ligue 1,0.24-0.27,46,0.259988,0.195652,0.231311,0.028677,-0.118043
2023-24,Ligue 1,0.27-0.30,146,0.283339,0.30137,0.259662,0.023676,0.121644
2023-24,Ligue 1,0.30-0.33,84,0.313947,0.285714,0.262349,0.051598,0.148929
2023-24,Ligue 1,>=0.33,24,0.342692,0.083333,0.283531,0.059161,-0.72125
2023-24,Premier League,0.18-0.21,5,0.200344,0.0,0.183165,0.017179,-1.0
2023-24,Premier League,0.21-0.24,72,0.228918,0.222222,0.19388,0.035038,0.064167
2023-24,Premier League,0.24-0.27,164,0.256146,0.22561,0.22817,0.027975,-0.00872
2023-24,Premier League,0.27-0.30,120,0.281567,0.2,0.23927,0.042297,-0.247083
2023-24,Premier League,0.30-0.33,9,0.306705,0.444444,0.270541,0.036164,0.502222
2023-24,Premier League,<0.18,4,0.16794,0.0,0.120477,0.047463,-1.0
2023-24,Premier League,>=0.33,1,0.331206,1.0,0.259813,0.071394,2.7
2023-24,Primeira Liga,0.18-0.21,4,0.20144,0.0,0.145688,0.055752,-1.0
2023-24,Primeira Liga,0.21-0.24,19,0.225386,0.157895,0.165378,0.060008,-0.221579
2023-24,Primeira Liga,0.24-0.27,83,0.258064,0.204819,0.220002,0.038062,-0.175904
2023-24,Primeira Liga,0.27-0.30,146,0.283983,0.260274,0.249396,0.034587,-0.028219
2023-24,Primeira Liga,0.30-0.33,43,0.311623,0.372093,0.279159,0.032464,0.360465
