season,league,fixtures,draws,draw_rate,avg_model_draw_probability,avg_market_draw_probability,avg_edge,blind_draw_roi,edge_positive_bets,edge_positive_roi,best_threshold_min_20_bets,best_threshold_bets,best_threshold_roi
2023-24,All,3416,880,0.257611,0.279387,0.244433,0.034955,0.012945,2556,-0.034621,0.0,2556,-0.034621
2023-24,Bundesliga,300,80,0.266667,0.258715,0.226438,0.032276,0.096267,218,0.027982,0.02,165,0.064364
2023-24,Championship,546,129,0.236264,0.286987,0.258622,0.028365,-0.125476,420,-0.178524,0.0,420,-0.178524
2023-24,Eredivisie,303,75,0.247525,0.259569,0.214843,0.044725,0.09604,237,0.094304,0.05,113,0.099381
2023-24,La Liga,373,104,0.27882,0.292318,0.262518,0.0298,0.035764,259,0.002664,0.0,259,0.002664
2023-24,Ligue 1,304,80,0.263158,0.292273,0.257014,0.035259,0.030724,245,0.072163,0.03,155,0.172
2023-24,Premier League,375,82,0.218667,0.258781,0.224491,0.03429,-0.075307,281,-0.148719,0.04,133,-0.125714
2023-24,Primeira Liga,302,75,0.248344,0.277276,0.240318,0.036958,-0.05043,203,-0.250788,0.02,149,-0.209128
2023-24,Pro League,310,82,0.264516,0.278622,0.240874,0.037749,0.055355,250,-0.00308,0.05,100,0.1576
2023-24,Scottish Premiership,228,61,0.267544,0.289059,0.240633,0.048426,0.046316,169,-0.055562,0.0,169,-0.055562
2023-24,Serie A,375,112,0.298667,0.294625,0.262398,0.032227,0.12752,274,0.155219,0.01,241,0.188631
2025-26,All,1506,382,0.253652,0.281966,0.255969,0.025997,-0.044316,1027,-0.027838,0.0,1027,-0.027838
2025-26,Bundesliga,270,66,0.244444,0.256688,0.239948,0.01674,-0.015407,168,-0.032738,0.0,168,-0.032738
2025-26,La Liga,310,78,0.251613,0.289659,0.263561,0.026098,-0.105387,203,-0.159163,0.0,203,-0.159163
2025-26,Ligue 1,267,64,0.2397,0.278572,0.248299,0.030274,-0.09206,196,-0.040969,0.0,196,-0.040969
2025-26,Premier League,329,89,0.270517,0.279003,0.250757,0.028246,0.070152,241,0.124066,0.03,137,0.27781
2025-26,Serie A,330,85,0.257576,0.30112,0.273346,0.027774,-0.086091,219,-0.057763,0.02,157,-0.053885
