league,train_season,test_season,edge_threshold,p_draw_min,p_draw_max,train_bets,train_hit_rate,train_roi_units,train_roi,test_bets,test_hit_rate,test_roi_units,test_roi,positive_both
All,2023-24,2025-26,0.0,0.0,0.27,791,0.184576,-42.92,-0.05426,287,0.188153,-25.86,-0.090105,0
All,2023-24,2025-26,0.0,0.0,0.3,1876,0.212154,-114.84,-0.061215,713,0.232819,-4.61,-0.006466,0
All,2023-24,2025-26,0.0,0.0,0.33,2433,0.231813,-46.18,-0.018981,971,0.242019,-17.07,-0.01758,0
All,2023-24,2025-26,0.0,0.0,0.36,2549,0.230286,-85.09,-0.033382,1022,0.241683,-29.66,-0.029022,0
All,2023-24,2025-26,0.0,0.0,1.0,2556,0.230047,-88.49,-0.034621,1027,0.242454,-28.59,-0.027838,0
All,2023-24,2025-26,0.0,0.24,0.27,590,0.2,-15.32,-0.025966,227,0.202643,-18.24,-0.080352,0
All,2023-24,2025-26,0.0,0.24,0.3,1675,0.220896,-87.24,-0.052084,653,0.24196,3.01,0.004609,0
All,2023-24,2025-26,0.0,0.24,0.33,2232,0.240143,-18.58,-0.008324,911,0.249177,-9.45,-0.010373,0
All,2023-24,2025-26,0.0,0.24,0.36,2348,0.238075,-57.49,-0.024485,962,0.248441,-22.04,-0.022911,0
All,2023-24,2025-26,0.0,0.24,1.0,2355,0.237792,-60.89,-0.025856,967,0.249224,-20.97,-0.021686,0
All,2023-24,2025-26,0.0,0.27,0.3,1085,0.232258,-71.92,-0.066286,426,0.262911,21.25,0.049883,0
All,2023-24,2025-26,0.0,0.27,0.33,1642,0.254568,-3.26,-0.001985,684,0.26462,8.79,0.012851,0
All,2023-24,2025-26,0.0,0.27,0.36,1758,0.250853,-42.17,-0.023987,735,0.262585,-3.8,-0.00517,0
All,2023-24,2025-26,0.0,0.27,1.0,1765,0.250425,-45.57,-0.025819,740,0.263514,-2.73,-0.003689,0
All,2023-24,2025-26,0.0,0.3,0.33,557,0.298025,68.66,0.123268,258,0.267442,-12.46,-0.048295,0
All,2023-24,2025-26,0.0,0.3,0.36,673,0.280832,29.75,0.044205,309,0.262136,-25.05,-0.081068,0
All,2023-24,2025-26,0.0,0.3,1.0,680,0.279412,26.35,0.03875,314,0.264331,-23.98,-0.076369,0
All,2023-24,2025-26,0.01,0.0,0.27,684,0.172515,-47.03,-0.068757,242,0.177686,-24.14,-0.099752,0
All,2023-24,2025-26,0.01,0.0,0.3,1588,0.200252,-119.61,-0.075321,579,0.212435,-24.16,-0.041727,0
All,2023-24,2025-26,0.01,0.0,0.33,2097,0.225083,-41.23,-0.019661,801,0.227216,-32.76,-0.040899,0
All,2023-24,2025-26,0.01,0.0,0.36,2212,0.223327,-82.07,-0.037102,846,0.225768,-48.19,-0.056962,0
All,2023-24,2025-26,0.01,0.0,1.0,2219,0.223073,-85.47,-0.038517,851,0.226792,-47.12,-0.05537,0
All,2023-24,2025-26,0.01,0.24,0.27,505,0.188119,-18.98,-0.037584,189,0.190476,-18.96,-0.100317,0
All,2023-24,2025-26,0.01,0.24,0.3,1409,0.209368,-91.56,-0.064982,526,0.220532,-18.98,-0.036084,0
All,2023-24,2025-26,0.01,0.24,0.33,1918,0.234098,-13.18,-0.006872,748,0.233957,-27.58,-0.036872,0
All,2023-24,2025-26,0.01,0.24,0.36,2033,0.231677,-54.02,-0.026572,793,0.23203,-43.01,-0.054237,0
All,2023-24,2025-26,0.01,0.24,1.0,2040,0.231373,-57.42,-0.028147,798,0.233083,-41.94,-0.052556,0
All,2023-24,2025-26,0.01,0.27,0.3,904,0.221239,-72.58,-0.080288,337,0.237389,-0.02,-5.9e-05,0
All,2023-24,2025-26,0.01,0.27,0.33,1413,0.250531,5.8,0.004105,559,0.248658,-8.62,-0.01542,0
All,2023-24,2025-26,0.01,0.27,0.36,1528,0.246073,-35.04,-0.022932,604,0.245033,-24.05,-0.039818,0
All,2023-24,2025-26,0.01,0.27,1.0,1535,0.245603,-38.44,-0.025042,609,0.246305,-22.98,-0.037734,0
All,2023-24,2025-26,0.01,0.3,0.33,509,0.302554,78.38,0.153988,222,0.265766,-8.6,-0.038739,0
All,2023-24,2025-26,0.01,0.3,0.36,624,0.282051,37.54,0.06016,267,0.254682,-24.03,-0.09,0
All,2023-24,2025-26,0.01,0.3,1.0,631,0.280507,34.14,0.054105,272,0.257353,-22.96,-0.084412,0
All,2023-24,2025-26,0.02,0.0,0.27,604,0.175497,-14.74,-0.024404,203,0.162562,-25.39,-0.125074,0
