season,league,threshold,bets,draw_hits,hit_rate,avg_draw_odds,avg_model_draw_probability,avg_market_draw_probability,avg_edge,roi_units,roi
2023-24,All,0.0,2556,588,0.230047,4.581886,0.282364,0.230335,0.052028,-88.49,-0.034621
2023-24,All,0.01,2219,495,0.223073,4.732537,0.283084,0.223908,0.059176,-85.47,-0.038517
2023-24,All,0.02,1879,400,0.212879,4.933699,0.282685,0.215455,0.06723,-83.34,-0.044353
2023-24,All,0.03,1552,309,0.199098,5.176031,0.282257,0.206108,0.076149,-98.25,-0.063305
2023-24,All,0.04,1289,246,0.190846,5.434151,0.281297,0.196738,0.084559,-79.39,-0.06159
2023-24,All,0.05,1040,185,0.177885,5.766346,0.279504,0.185458,0.094046,-72.9,-0.070096
2023-24,Bundesliga,0.0,218,51,0.233945,5.049954,0.261189,0.210875,0.050315,6.1,0.027982
2023-24,Bundesliga,0.01,188,43,0.228723,5.245638,0.261176,0.20369,0.057486,6.29,0.033457
2023-24,Bundesliga,0.02,165,38,0.230303,5.445697,0.259521,0.19617,0.063352,10.62,0.064364
2023-24,Bundesliga,0.03,129,26,0.20155,5.834264,0.257499,0.183474,0.074025,-3.29,-0.025504
2023-24,Bundesliga,0.04,108,22,0.203704,6.139444,0.256052,0.174303,0.081749,0.17,0.001574
2023-24,Bundesliga,0.05,82,13,0.158537,6.66122,0.252826,0.159638,0.093189,-11.81,-0.144024
2023-24,Championship,0.0,420,90,0.214286,3.992786,0.290936,0.250159,0.040777,-74.98,-0.178524
2023-24,Championship,0.01,362,74,0.20442,4.071436,0.292106,0.245582,0.046524,-73.39,-0.202735
2023-24,Championship,0.02,286,49,0.171329,4.203671,0.293213,0.238233,0.05498,-85.45,-0.298776
2023-24,Championship,0.03,223,37,0.165919,4.347085,0.294096,0.230711,0.063385,-65.57,-0.294036
2023-24,Championship,0.04,168,26,0.154762,4.543869,0.293669,0.220793,0.072876,-52.59,-0.313036
2023-24,Championship,0.05,130,23,0.176923,4.724769,0.293544,0.212553,0.080992,-25.65,-0.197308
2023-24,Eredivisie,0.0,237,55,0.232068,5.643418,0.261674,0.1998,0.061874,22.35,0.094304
2023-24,Eredivisie,0.01,204,44,0.215686,5.952549,0.261012,0.189885,0.071127,14.58,0.071471
2023-24,Eredivisie,0.02,182,38,0.208791,6.206264,0.2602,0.182236,0.077964,14.83,0.081484
2023-24,Eredivisie,0.03,160,30,0.1875,6.518438,0.258447,0.173146,0.085301,5.5,0.034375
2023-24,Eredivisie,0.04,139,26,0.18705,6.838993,0.258042,0.165296,0.092746,7.16,0.051511
2023-24,Eredivisie,0.05,113,21,0.185841,7.402566,0.255733,0.151879,0.103854,11.23,0.099381
2023-24,La Liga,0.0,259,65,0.250965,4.185444,0.29577,0.244888,0.050881,0.69,0.002664
2023-24,La Liga,0.01,231,56,0.242424,4.275671,0.296572,0.24014,0.056432,-3.03,-0.013117
2023-24,La Liga,0.02,189,45,0.238095,4.449471,0.296879,0.231093,0.065786,-0.03,-0.000159
2023-24,La Liga,0.03,152,31,0.203947,4.646645,0.297552,0.221735,0.075816,-14.21,-0.093487
2023-24,La Liga,0.04,129,24,0.186047,4.824961,0.296261,0.213247,0.083014,-15.15,-0.117442
2023-24,La Liga,0.05,102,19,0.186275,5.094902,0.294345,0.201117,0.093228,-6.63,-0.065
2023-24,Ligue 1,0.0,245,65,0.265306,4.025061,0.295839,0.24894,0.046899,17.68,0.072163
2023-24,Ligue 1,0.01,215,57,0.265116,4.092419,0.297719,0.2451,0.052619,20.03,0.093163
2023-24,Ligue 1,0.02,180,48,0.266667,4.207444,0.298618,0.238505,0.060113,22.92,0.127333
2023-24,Ligue 1,0.03,155,42,0.270968,4.284129,0.30019,0.234516,0.065674,26.66,0.172
2023-24,Ligue 1,0.04,128,31,0.242188,4.391328,0.301297,0.229226,0.072071,10.7,0.083594
2023-24,Ligue 1,0.05,100,23,0.23,4.5502,0.301086,0.221398,0.079688,7.81,0.0781
2023-24,Premier League,0.0,281,52,0.185053,5.101993,0.260755,0.208851,0.051904,-41.79,-0.148719
2023-24,Premier League,0.01,234,37,0.15812,5.36547,0.260201,0.198814,0.061387,-52.29,-0.223462
2023-24,Premier League,0.02,196,31,0.158163,5.635561,0.25987,0.189418,0.070452,-37.12,-0.189388
2023-24,Premier League,0.03,165,26,0.157576,5.900788,0.260087,0.180994,0.079093,-26.43,-0.160182
2023-24,Premier League,0.04,133,21,0.157895,6.267594,0.259913,0.170258,0.089654,-16.72,-0.125714
2023-24,Premier League,0.05,111,15,0.135135,6.611081,0.258969,0.160542,0.098428,-20.76,-0.187027
2023-24,Primeira Liga,0.0,203,34,0.167488,5.077488,0.27856,0.214975,0.063585,-50.91,-0.250788
2023-24,Primeira Liga,0.01,171,29,0.169591,5.364386,0.278184,0.203636,0.074548,-35.98,-0.210409
2023-24,Primeira Liga,0.02,149,24,0.161074,5.64094,0.275654,0.192207,0.083447,-31.16,-0.209128
2023-24,Primeira Liga,0.03,123,18,0.146341,6.064553,0.271905,0.175889,0.096015,-27.92,-0.226992
2023-24,Primeira Liga,0.04,111,16,0.144144,6.301982,0.270137,0.167393,0.102744,-23.43,-0.211081
2023-24,Primeira Liga,0.05,102,13,0.127451,6.513235,0.267812,0.160108,0.107704,-25.67,-0.251667
2023-24,Pro League,0.0,250,60,0.24,4.30008,0.28327,0.233748,0.049522,-0.77,-0.00308
2023-24,Pro League,0.01,225,55,0.244444,4.381022,0.284041,0.229561,0.05448,6.69,0.029733
2023-24,Pro League,0.02,194,46,0.237113,4.498454,0.284542,0.223762,0.060781,4.86,0.025052
2023-24,Pro League,0.03,163,38,0.233129,4.64362,0.284351,0.216724,0.067626,6.42,0.039387
2023-24,Pro League,0.04,128,30,0.234375,4.861016,0.283553,0.206957,0.076596,11.16,0.087188
2023-24,Pro League,0.05,100,24,0.24,5.1079,0.282376,0.196708,0.085668,15.76,0.1576
2023-24,Scottish Premiership,0.0,169,37,0.218935,5.076982,0.291413,0.220345,0.071068,-9.39,-0.055562
2023-24,Scottish Premiership,0.01,148,30,0.202703,5.304662,0.292134,0.211674,0.08046,-13.83,-0.093446
2023-24,Scottish Premiership,0.02,126,22,0.174603,5.611111,0.292434,0.200607,0.091826,-19.56,-0.155238
2023-24,Scottish Premiership,0.03,111,17,0.153153,5.864234,0.29262,0.191999,0.100621,-24.05,-0.216667
2023-24,Scottish Premiership,0.04,101,15,0.148515,6.090693,0.290992,0.183949,0.107043,-20.72,-0.205149
2023-24,Scottish Premiership,0.05,89,11,0.123596,6.409213,0.288611,0.173272,0.115339,-23.47,-0.263708
2023-24,Serie A,0.0,274,79,0.288321,4.118102,0.297817,0.247914,0.049903,42.53,0.155219
2023-24,Serie A,0.01,241,70,0.290456,4.215519,0.298562,0.242445,0.056118,45.46,0.188631
2023-24,Serie A,0.02,212,59,0.278302,4.325613,0.29817,0.236377,0.061793,36.75,0.173349
2023-24,Serie A,0.03,171,44,0.25731,4.505789,0.298039,0.227304,0.070734,24.64,0.144094
2023-24,Serie A,0.04,144,35,0.243056,4.670694,0.29661,0.219147,0.077463,20.03,0.139097
2023-24,Serie A,0.05,111,23,0.207207,4.918739,0.295279,0.208066,0.087213,6.29,0.056667
2025-26,All,0.0,1027,249,0.242454,4.323204,0.285093,0.23847,0.046623,-28.59,-0.027838
2025-26,All,0.01,851,193,0.226792,4.490141,0.285377,0.230145,0.055232,-47.12,-0.05537
