league,sample,sample_note,market,bet_count,roi,roi_ci_low,roi_ci_high
Serie A,broad,,away_tt_over_1_5,220,0.114955,-0.032324,0.262233
Serie A,broad,,draw,493,0.060609,-0.10114,0.222357
Serie A,broad,,underdog_tt_under_1_5,100,0.0587,-0.066074,0.183474
Serie A,broad,,favorite_tt_over_1_5,448,0.055357,-0.037873,0.148587
Serie A,broad,,favorite_ml,491,0.03167,-0.048091,0.111431
Serie A,broad,,home_tt_under_1_5,332,-0.017319,-0.120869,0.08623
Serie A,broad,,over_2_5,491,-0.023931,-0.111983,0.064121
Serie A,broad,,under_2_5,491,-0.060183,-0.144727,0.02436
Serie A,broad,,home_tt_over_1_5,332,-0.068434,-0.180963,0.044096
Serie A,broad,,favorite_tt_under_1_5,448,-0.122701,-0.213628,-0.031774
Serie A,broad,,away_tt_under_1_5,220,-0.200591,-0.31538,-0.085801
Serie A,broad,,underdog_tt_over_1_5,100,-0.226,-0.486111,0.034111
Serie A,broad,,underdog_ml,491,-0.282322,-0.455405,-0.109238
Serie A,strict_oos,,draw,136,0.284485,-0.067485,0.636456
Serie A,strict_oos,,underdog_tt_under_1_5,17,0.128235,-0.182406,0.438877
Serie A,strict_oos,,home_tt_under_1_5,89,0.094045,-0.134482,0.322571
Serie A,strict_oos,,under_2_5,136,0.001544,-0.167001,0.17009
Serie A,strict_oos,,favorite_tt_under_1_5,117,-0.001795,-0.203862,0.200272
Serie A,strict_oos,,away_tt_over_1_5,45,-0.022444,-0.284004,0.239115
Serie A,strict_oos,,favorite_ml,136,-0.023456,-0.155484,0.108572
Serie A,strict_oos,,favorite_tt_over_1_5,117,-0.053675,-0.212234,0.104884
Serie A,strict_oos,,over_2_5,136,-0.105882,-0.260393,0.048628
Serie A,strict_oos,,home_tt_over_1_5,89,-0.124719,-0.321042,0.071603
Serie A,strict_oos,,away_tt_under_1_5,45,-0.142222,-0.431721,0.147276
Serie A,strict_oos,,underdog_tt_over_1_5,17,-0.342941,-0.926226,0.240344
Serie A,strict_oos,,underdog_ml,136,-0.492132,-0.78838,-0.195884
Eredivisie,broad,,draw,237,0.094304,-0.178718,0.367325
Eredivisie,broad,,away_tt_over_1_5,119,0.03916,-0.167603,0.245922
Eredivisie,broad,,favorite_tt_over_1_5,149,-0.004362,-0.146229,0.137504
Eredivisie,broad,,home_tt_under_1_5,142,-0.013732,-0.176987,0.149522
Eredivisie,broad,,underdog_tt_under_1_5,112,-0.035536,-0.170204,0.099132
Eredivisie,broad,,underdog_tt_over_1_5,112,-0.042946,-0.283551,0.197658
Eredivisie,broad,,favorite_ml,237,-0.055907,-0.158273,0.046458
Eredivisie,broad,,home_tt_over_1_5,142,-0.071268,-0.238589,0.096053
Eredivisie,broad,,favorite_tt_under_1_5,149,-0.090671,-0.262779,0.081436
Eredivisie,broad,,away_tt_under_1_5,119,-0.130588,-0.286739,0.025563
