subset_mode,market,category,fixtures_in_universe,fixtures_in_subset,priced_bets,coverage_pct,hits,hit_rate,baseline_hit_rate,hit_rate_lift,avg_model_probability,avg_odds,roi_units,roi,notes
positive_edge,under_2_5,priced,303,237,0,0.0,0,,0.366337,,,,,,historical priced market
positive_edge,over_2_5,priced,303,237,0,0.0,0,,0.633663,,,,,,historical priced market
positive_edge,draw,priced,303,237,237,1.0,55,0.232068,0.247525,-0.015457,,5.643418,22.35,0.094304,historical priced market
positive_edge,away_tt_over_1_5,priced,303,237,119,0.50211,57,0.478992,0.425743,0.053249,,2.337815,4.66,0.03916,historical priced market
positive_edge,favorite_tt_over_1_5,priced,303,237,149,0.628692,85,0.57047,0.623762,-0.053293,,1.784497,-0.65,-0.004362,historical priced market
positive_edge,home_tt_under_1_5,priced,303,237,142,0.599156,74,0.521127,0.50495,0.016176,,1.986408,-1.95,-0.013732,historical priced market
positive_edge,underdog_tt_under_1_5,priced,303,237,112,0.472574,72,0.642857,0.70297,-0.060113,,1.506339,-3.98,-0.035536,historical priced market
positive_edge,underdog_tt_over_1_5,priced,303,237,112,0.472574,40,0.357143,0.29703,0.060113,,2.725536,-4.81,-0.042946,historical priced market
positive_edge,favorite_ml,priced,303,237,237,1.0,146,0.616034,0.577558,0.038476,,1.642658,-13.25,-0.055907,historical priced market
positive_edge,home_tt_over_1_5,priced,303,237,142,0.599156,68,0.478873,0.49505,-0.016176,,2.063028,-10.12,-0.071268,historical priced market
positive_edge,favorite_tt_under_1_5,priced,303,237,149,0.628692,64,0.42953,0.376238,0.053293,,2.188456,-13.51,-0.090671,historical priced market
positive_edge,away_tt_under_1_5,priced,303,237,119,0.50211,62,0.521008,0.574257,-0.053249,,1.787563,-15.54,-0.130588,historical priced market
positive_edge,underdog_ml,priced,303,237,237,1.0,36,0.151899,0.174917,-0.023019,,8.168439,-69.56,-0.293502,historical priced market
positive_edge,btts_yes,structural_only,303,237,,1.0,136,0.57384,0.564356,0.009483,,,,,no stored historical prices for this market
positive_edge,exact_1_0,structural_only,303,237,,1.0,16,0.067511,0.062706,0.004804,,,,,no stored historical prices for this market
positive_edge,exact_2_2,structural_only,303,237,,1.0,18,0.075949,0.075908,4.2e-05,,,,,no stored historical prices for this market
positive_edge,exact_0_1,structural_only,303,237,,1.0,8,0.033755,0.036304,-0.002548,,,,,no stored historical prices for this market
positive_edge,exact_0_0,structural_only,303,237,,1.0,11,0.046414,0.049505,-0.003091,,,,,no stored historical prices for this market
positive_edge,btts_no,structural_only,303,237,,1.0,101,0.42616,0.435644,-0.009483,,,,,no stored historical prices for this market
positive_edge,exact_1_1,structural_only,303,237,,1.0,22,0.092827,0.105611,-0.012784,,,,,no stored historical prices for this market
positive_edge,under_3_5,structural_only,303,237,,1.0,124,0.523207,0.564356,-0.04115,,,,,no stored historical prices for this market
