subset_mode,season,fixture_id,kickoff_at,league,country,home_team,away_team,favorite_side,favorite_team,underdog_side,underdog_team,draw_edge,model_draw_probability,fair_market_draw_probability,actual_outcome,home_score,away_score,total_goals,draw_hit,favorite_win_hit,underdog_win_hit,under_2_5_hit,over_2_5_hit,under_3_5_hit,btts_yes_hit,btts_no_hit,exact_0_0_hit,exact_1_1_hit,exact_1_0_hit,exact_0_1_hit,exact_2_2_hit,draw_odds,favorite_ml_odds,underdog_ml_odds,under_2_5_odds,over_2_5_odds,home_tt_under_1_5_odds,away_tt_under_1_5_odds,favorite_tt_under_1_5_odds,underdog_tt_under_1_5_odds,home_tt_over_1_5_odds,away_tt_over_1_5_odds,favorite_tt_over_1_5_odds,underdog_tt_over_1_5_odds,home_tt_under_1_5_hit,away_tt_under_1_5_hit,favorite_tt_under_1_5_hit,underdog_tt_under_1_5_hit,home_tt_over_1_5_hit,away_tt_over_1_5_hit,favorite_tt_over_1_5_hit,underdog_tt_over_1_5_hit,draw_profit_units,favorite_ml_profit_units,underdog_ml_profit_units,under_2_5_profit_units,over_2_5_profit_units,home_tt_under_1_5_profit_units,away_tt_under_1_5_profit_units,favorite_tt_under_1_5_profit_units,underdog_tt_under_1_5_profit_units,home_tt_over_1_5_profit_units,away_tt_over_1_5_profit_units,favorite_tt_over_1_5_profit_units,underdog_tt_over_1_5_profit_units
positive_edge,2023-24,2034,2023-08-11T21:00:00+00:00,La Liga,Spain,Sevilla,Valencia,home,Sevilla,away,Valencia,0.022041,0.309101,0.28706,away,1,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,3.4,1.96,4.54,1.67,2.2,1.66,,1.66,,2.35,,2.35,,1,0,1,0,0,1,0,1,-1.0,-1.0,3.54,-1.0,1.2,0.66,,0.66,,-1.0,,-1.0,
positive_edge,2023-24,2039,2023-08-13T18:30:00+00:00,La Liga,Spain,Villarreal,Real Betis,home,Villarreal,away,Real Betis,0.040902,0.279065,0.238163,away,1,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,4.1,1.75,4.79,2.1,1.73,2.17,,2.17,,1.76,,1.76,,1,0,1,0,0,1,0,1,-1.0,-1.0,3.79,-1.0,0.73,1.17,,1.17,,-1.0,,-1.0,
positive_edge,2023-24,2040,2023-08-13T20:30:00+00:00,La Liga,Spain,Getafe,Barcelona,away,Barcelona,home,Getafe,0.061086,0.30377,0.242684,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,4.01,1.56,7.29,1.73,2.1,,2.01,2.01,,,1.88,1.88,,1,1,1,1,0,0,0,0,3.01,-1.0,-1.0,0.73,-1.0,,1.01,1.01,,,-1.0,-1.0,
positive_edge,2023-24,2042,2023-08-14T20:30:00+00:00,La Liga,Spain,Atlético Madrid,Granada,home,Atlético Madrid,away,Granada,0.094575,0.264745,0.17017,home,3,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,5.71,1.33,9.79,2.2,1.67,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.33,-1.0,-1.0,0.67,,,,,,,,
positive_edge,2023-24,2044,2023-08-18T20:30:00+00:00,La Liga,Spain,Valencia,Las Palmas,home,Valencia,away,Las Palmas,0.04601,0.290854,0.244844,home,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,3.96,1.61,6.34,1.73,2.1,1.99,,1.99,,1.88,,1.88,,1,1,1,1,0,0,0,0,-1.0,0.61,-1.0,0.73,-1.0,0.99,,0.99,,-1.0,,-1.0,
positive_edge,2023-24,2049,2023-08-20T18:30:00+00:00,La Liga,Spain,Barcelona,Cádiz,home,Barcelona,away,Cádiz,0.152588,0.305645,0.153058,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,6.32,1.26,12.21,2.38,1.57,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.26,-1.0,1.38,-1.0,,,,,,,,
positive_edge,2023-24,2050,2023-08-20T20:30:00+00:00,La Liga,Spain,Real Betis,Atlético Madrid,away,Atlético Madrid,home,Real Betis,0.011352,0.288504,0.277152,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,3.53,2.07,3.91,1.73,2.1,,1.78,1.78,,,2.15,2.15,,1,1,1,1,0,0,0,0,2.53,-1.0,-1.0,0.73,-1.0,,0.78,0.78,,,-1.0,-1.0,
positive_edge,2023-24,2053,2023-08-25T18:30:00+00:00,La Liga,Spain,Las Palmas,Real Sociedad,away,Real Sociedad,home,Las Palmas,0.013261,0.30513,0.291869,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,3.35,1.95,4.73,1.57,2.38,,1.65,1.65,,,2.38,2.38,,1,1,1,1,0,0,0,0,2.35,-1.0,-1.0,0.57,-1.0,,0.65,0.65,,,-1.0,-1.0,
positive_edge,2023-24,2054,2023-08-25T20:30:00+00:00,La Liga,Spain,Celta Vigo,Real Madrid,away,Real Madrid,home,Celta Vigo,0.04364,0.296806,0.253166,away,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,3.85,1.83,4.55,2.1,1.73,,2.07,2.07,,,1.83,1.83,,1,1,1,1,0,0,0,0,-1.0,0.83,-1.0,1.1,-1.0,,1.07,1.07,,,-1.0,-1.0,
positive_edge,2023-24,2055,2023-08-26T18:00:00+00:00,La Liga,Spain,Cádiz,Almería,home,Cádiz,away,Almería,0.018288,0.300227,0.281939,draw,1,1,2,1,0,0,1,0,1,1,0,0,1,0,0,0,3.47,2.16,3.69,1.73,2.1,1.7,1.42,1.7,1.42,2.26,3.04,2.26,3.04,1,1,1,1,0,0,0,0,2.47,-1.0,-1.0,0.73,-1.0,0.7,0.42,0.7,0.42,-1.0,-1.0,-1.0,-1.0
positive_edge,2023-24,2057,2023-08-26T20:30:00+00:00,La Liga,Spain,Sevilla,Girona,home,Sevilla,away,Girona,0.006737,0.280998,0.274261,away,1,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,3.56,1.96,4.29,1.93,1.97,1.83,,1.83,,2.07,,2.07,,1,0,1,0,0,1,0,1,-1.0,-1.0,3.29,-1.0,0.97,0.83,,0.83,,-1.0,,-1.0,
positive_edge,2023-24,2058,2023-08-27T16:30:00+00:00,La Liga,Spain,Villarreal,Barcelona,away,Barcelona,home,Villarreal,0.044036,0.307488,0.263452,away,3,4,7,0,1,0,0,1,0,1,0,0,0,0,0,0,3.71,2.13,3.52,2.2,1.67,1.56,1.99,1.99,1.56,2.57,1.89,1.89,2.57,0,0,0,0,1,1,1,1,-1.0,1.13,-1.0,-1.0,0.67,-1.0,-1.0,-1.0,-1.0,1.57,0.89,0.89,1.57
positive_edge,2023-24,2059,2023-08-27T18:30:00+00:00,La Liga,Spain,Valencia,Osasuna,home,Valencia,away,Osasuna,0.017826,0.297949,0.280122,away,1,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,3.47,1.76,5.8,1.67,2.2,1.68,,1.68,,2.27,,2.27,,1,0,1,0,0,1,0,1,-1.0,-1.0,4.8,-1.0,1.2,0.68,,0.68,,-1.0,,-1.0,
positive_edge,2023-24,2060,2023-08-27T20:30:00+00:00,La Liga,Spain,Athletic Club,Real Betis,home,Athletic Club,away,Real Betis,0.017952,0.303177,0.285225,home,4,2,6,0,1,0,0,1,0,1,0,0,0,0,0,0,3.43,2.01,4.29,1.88,2.02,1.71,,1.71,,2.25,,2.25,,0,0,0,0,1,1,1,1,-1.0,1.01,-1.0,-1.0,1.02,-1.0,,-1.0,,1.25,,1.25,
positive_edge,2023-24,2062,2023-08-28T20:30:00+00:00,La Liga,Spain,Rayo Vallecano,Atlético Madrid,away,Atlético Madrid,home,Rayo Vallecano,0.006187,0.296806,0.290618,away,0,7,7,0,1,0,0,1,0,0,1,0,0,0,0,0,3.36,2.08,4.07,1.73,2.1,,1.65,1.65,,,2.37,2.37,,1,0,0,1,0,1,1,0,-1.0,1.08,-1.0,-1.0,1.1,,-1.0,-1.0,,,1.37,1.37,
positive_edge,2023-24,2063,2023-09-01T18:30:00+00:00,La Liga,Spain,Cádiz,Villarreal,away,Villarreal,home,Cádiz,0.014799,0.289756,0.274957,home,3,1,4,0,0,1,0,1,0,1,0,0,0,0,0,0,3.56,2.28,3.31,2.01,1.89,1.5,1.76,1.76,1.5,2.81,2.1,2.1,2.81,0,1,1,0,1,0,0,1,-1.0,-1.0,2.31,-1.0,0.89,-1.0,0.76,0.76,-1.0,1.81,-1.0,-1.0,1.81
