subset_mode,season,fixture_id,kickoff_at,league,country,home_team,away_team,favorite_side,favorite_team,underdog_side,underdog_team,draw_edge,model_draw_probability,fair_market_draw_probability,actual_outcome,home_score,away_score,total_goals,draw_hit,favorite_win_hit,underdog_win_hit,under_2_5_hit,over_2_5_hit,under_3_5_hit,btts_yes_hit,btts_no_hit,exact_0_0_hit,exact_1_1_hit,exact_1_0_hit,exact_0_1_hit,exact_2_2_hit,draw_odds,favorite_ml_odds,underdog_ml_odds,under_2_5_odds,over_2_5_odds,home_tt_under_1_5_odds,away_tt_under_1_5_odds,favorite_tt_under_1_5_odds,underdog_tt_under_1_5_odds,home_tt_over_1_5_odds,away_tt_over_1_5_odds,favorite_tt_over_1_5_odds,underdog_tt_over_1_5_odds,home_tt_under_1_5_hit,away_tt_under_1_5_hit,favorite_tt_under_1_5_hit,underdog_tt_under_1_5_hit,home_tt_over_1_5_hit,away_tt_over_1_5_hit,favorite_tt_over_1_5_hit,underdog_tt_over_1_5_hit,draw_profit_units,favorite_ml_profit_units,underdog_ml_profit_units,under_2_5_profit_units,over_2_5_profit_units,home_tt_under_1_5_profit_units,away_tt_under_1_5_profit_units,favorite_tt_under_1_5_profit_units,underdog_tt_under_1_5_profit_units,home_tt_over_1_5_profit_units,away_tt_over_1_5_profit_units,favorite_tt_over_1_5_profit_units,underdog_tt_over_1_5_profit_units
surviving_rule,2023-24,2034,2023-08-11T21:00:00+00:00,La Liga,Spain,Sevilla,Valencia,home,Sevilla,away,Valencia,0.022041,0.309101,0.28706,away,1,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,3.4,1.96,4.54,1.67,2.2,1.66,,1.66,,2.35,,2.35,,1,0,1,0,0,1,0,1,-1.0,-1.0,3.54,-1.0,1.2,0.66,,0.66,,-1.0,,-1.0,
surviving_rule,2023-24,2040,2023-08-13T20:30:00+00:00,La Liga,Spain,Getafe,Barcelona,away,Barcelona,home,Getafe,0.061086,0.30377,0.242684,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,4.01,1.56,7.29,1.73,2.1,,2.01,2.01,,,1.88,1.88,,1,1,1,1,0,0,0,0,3.01,-1.0,-1.0,0.73,-1.0,,1.01,1.01,,,-1.0,-1.0,
surviving_rule,2023-24,2049,2023-08-20T18:30:00+00:00,La Liga,Spain,Barcelona,Cádiz,home,Barcelona,away,Cádiz,0.152588,0.305645,0.153058,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,6.32,1.26,12.21,2.38,1.57,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.26,-1.0,1.38,-1.0,,,,,,,,
surviving_rule,2023-24,2058,2023-08-27T16:30:00+00:00,La Liga,Spain,Villarreal,Barcelona,away,Barcelona,home,Villarreal,0.044036,0.307488,0.263452,away,3,4,7,0,1,0,0,1,0,1,0,0,0,0,0,0,3.71,2.13,3.52,2.2,1.67,1.56,1.99,1.99,1.56,2.57,1.89,1.89,2.57,0,0,0,0,1,1,1,1,-1.0,1.13,-1.0,-1.0,0.67,-1.0,-1.0,-1.0,-1.0,1.57,0.89,0.89,1.57
surviving_rule,2023-24,2095,2023-09-27T18:00:00+00:00,La Liga,Spain,Real Madrid,Las Palmas,home,Real Madrid,away,Las Palmas,0.178851,0.303898,0.125047,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,7.75,1.19,16.0,2.75,1.44,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.19,-1.0,1.75,-1.0,,,,,,,,
surviving_rule,2023-24,2117,2023-10-08T13:00:00+00:00,La Liga,Spain,Villarreal,Las Palmas,home,Villarreal,away,Las Palmas,0.087448,0.32182,0.234371,away,1,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,4.16,1.65,5.58,2.08,1.73,2.23,,2.23,,1.72,,1.72,,1,0,1,0,0,1,0,1,-1.0,-1.0,4.58,-1.0,0.73,1.23,,1.23,,-1.0,,-1.0,
surviving_rule,2023-24,2129,2023-10-22T17:30:00+00:00,La Liga,Spain,Villarreal,Alavés,home,Villarreal,away,Alavés,0.026893,0.311888,0.284995,draw,1,1,2,1,0,0,1,0,1,1,0,0,1,0,0,0,3.42,2.06,4.03,1.93,1.97,1.71,,1.71,,2.24,,2.24,,1,1,1,1,0,0,0,0,2.42,-1.0,-1.0,0.93,-1.0,0.71,,0.71,,-1.0,,-1.0,
surviving_rule,2023-24,2131,2023-10-23T20:00:00+00:00,La Liga,Spain,Valencia,Cádiz,home,Valencia,away,Cádiz,0.047375,0.311766,0.264391,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,3.66,1.73,5.49,1.65,2.2,1.76,,1.76,,2.05,,2.05,,0,1,0,1,1,0,1,0,-1.0,0.73,-1.0,0.65,-1.0,-1.0,,-1.0,,1.05,,1.05,
surviving_rule,2023-24,2139,2023-10-29T17:30:00+00:00,La Liga,Spain,Athletic Club,Valencia,home,Athletic Club,away,Valencia,0.061314,0.30207,0.240756,draw,2,2,4,1,0,0,0,1,0,1,0,0,0,0,0,1,4.09,1.64,6.2,1.73,2.08,1.97,,1.97,,1.85,,1.85,,0,0,0,0,1,1,1,1,3.09,-1.0,-1.0,-1.0,1.08,-1.0,,-1.0,,0.85,,0.85,
surviving_rule,2023-24,2157,2023-11-11T20:00:00+00:00,La Liga,Spain,Real Madrid,Valencia,home,Real Madrid,away,Valencia,0.1336,0.307303,0.173702,home,5,1,6,0,1,0,0,1,0,1,0,0,0,0,0,0,5.59,1.34,9.55,2.3,1.6,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.34,-1.0,-1.0,0.6,,,,,,,,
