subset_mode,season,fixture_id,kickoff_at,league,country,home_team,away_team,favorite_side,favorite_team,underdog_side,underdog_team,draw_edge,model_draw_probability,fair_market_draw_probability,actual_outcome,home_score,away_score,total_goals,draw_hit,favorite_win_hit,underdog_win_hit,under_2_5_hit,over_2_5_hit,under_3_5_hit,btts_yes_hit,btts_no_hit,exact_0_0_hit,exact_1_1_hit,exact_1_0_hit,exact_0_1_hit,exact_2_2_hit,draw_odds,favorite_ml_odds,underdog_ml_odds,under_2_5_odds,over_2_5_odds,home_tt_under_1_5_odds,away_tt_under_1_5_odds,favorite_tt_under_1_5_odds,underdog_tt_under_1_5_odds,home_tt_over_1_5_odds,away_tt_over_1_5_odds,favorite_tt_over_1_5_odds,underdog_tt_over_1_5_odds,home_tt_under_1_5_hit,away_tt_under_1_5_hit,favorite_tt_under_1_5_hit,underdog_tt_under_1_5_hit,home_tt_over_1_5_hit,away_tt_over_1_5_hit,favorite_tt_over_1_5_hit,underdog_tt_over_1_5_hit,draw_profit_units,favorite_ml_profit_units,underdog_ml_profit_units,under_2_5_profit_units,over_2_5_profit_units,home_tt_under_1_5_profit_units,away_tt_under_1_5_profit_units,favorite_tt_under_1_5_profit_units,underdog_tt_under_1_5_profit_units,home_tt_over_1_5_profit_units,away_tt_over_1_5_profit_units,favorite_tt_over_1_5_profit_units,underdog_tt_over_1_5_profit_units
positive_edge,2023-24,3100,2023-08-12T16:00:00+00:00,Ligue 1,France,Marseille,Stade de Reims,home,Marseille,away,Stade de Reims,0.042321,0.294217,0.251897,home,2,1,3,0,1,0,0,1,1,1,0,0,0,0,0,0,3.88,1.82,4.63,2.0,1.8,2.01,,2.01,,1.88,,1.88,,0,1,0,1,1,0,1,0,-1.0,0.82,-1.0,-1.0,0.8,-1.0,,-1.0,,0.88,,0.88,
positive_edge,2023-24,3101,2023-08-12T20:00:00+00:00,Ligue 1,France,Paris Saint-Germain,Lorient,home,Paris Saint-Germain,away,Lorient,0.056743,0.256776,0.200033,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,4.87,1.44,7.89,2.63,1.5,2.53,,2.53,,1.57,,1.57,,1,1,1,1,0,0,0,0,3.87,-1.0,-1.0,1.63,-1.0,1.53,,1.53,,-1.0,,-1.0,
positive_edge,2023-24,3103,2023-08-13T14:00:00+00:00,Ligue 1,France,Clermont Foot,AS Monaco,away,AS Monaco,home,Clermont Foot,0.00445,0.279791,0.275341,away,2,4,6,0,1,0,0,1,0,1,0,0,0,0,0,0,3.54,2.4,3.06,2.1,1.73,1.56,1.74,1.74,1.56,2.51,2.16,2.16,2.51,0,0,0,0,1,1,1,1,-1.0,1.4,-1.0,-1.0,0.73,-1.0,-1.0,-1.0,-1.0,1.51,1.16,1.16,1.51
positive_edge,2023-24,3104,2023-08-13T14:00:00+00:00,Ligue 1,France,Montpellier HSC,Le Havre AC,home,Montpellier HSC,away,Le Havre AC,0.047941,0.302427,0.254486,draw,2,2,4,1,0,0,0,1,0,1,0,0,0,0,0,1,3.83,1.72,5.45,1.73,2.1,1.92,,1.92,,2.03,,2.03,,0,0,0,0,1,1,1,1,2.83,-1.0,-1.0,-1.0,1.1,-1.0,,-1.0,,1.03,,1.03,
positive_edge,2023-24,3105,2023-08-13T14:00:00+00:00,Ligue 1,France,Nantes,Toulouse,away,Toulouse,home,Nantes,0.001802,0.282834,0.281032,away,1,2,3,0,1,0,0,1,1,1,0,0,0,0,0,0,3.48,2.43,3.09,1.87,2.03,1.5,1.67,1.67,1.5,2.75,2.32,2.32,2.75,1,0,0,1,0,1,1,0,-1.0,1.43,-1.0,-1.0,1.03,0.5,-1.0,-1.0,0.5,-1.0,1.32,1.32,-1.0
positive_edge,2023-24,3106,2023-08-13T16:05:00+00:00,Ligue 1,France,Stade Rennais,Metz,home,Stade Rennais,away,Metz,0.059539,0.285004,0.225465,home,5,1,6,0,1,0,0,1,0,1,0,0,0,0,0,0,4.29,1.63,5.34,2.1,1.73,2.3,,2.3,,1.68,,1.68,,0,1,0,1,1,0,1,0,-1.0,0.63,-1.0,-1.0,0.73,-1.0,,-1.0,,0.68,,0.68,
positive_edge,2023-24,3107,2023-08-13T19:45:00+00:00,Ligue 1,France,Strasbourg,Lyon,home,Strasbourg,away,Lyon,0.017718,0.288596,0.270877,home,2,1,3,0,1,0,0,1,1,1,0,0,0,0,0,0,3.61,2.6,2.77,2.1,1.73,1.75,1.7,1.75,1.7,2.18,2.29,2.18,2.29,0,1,0,1,1,0,1,0,-1.0,1.6,-1.0,-1.0,0.73,-1.0,0.7,-1.0,0.7,1.18,-1.0,1.18,-1.0
positive_edge,2023-24,3108,2023-08-18T20:00:00+00:00,Ligue 1,France,Metz,Marseille,away,Marseille,home,Metz,0.035117,0.277137,0.24202,draw,2,2,4,1,0,0,0,1,0,1,0,0,0,0,0,1,4.03,1.74,4.94,2.1,1.73,,2.2,2.2,,,1.74,1.74,,0,0,0,0,1,1,1,1,3.03,-1.0,-1.0,-1.0,0.73,,-1.0,-1.0,,,0.74,0.74,
positive_edge,2023-24,3111,2023-08-20T12:00:00+00:00,Ligue 1,France,Lille,Nantes,home,Lille,away,Nantes,0.083412,0.282362,0.198949,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,4.9,1.47,7.07,2.2,1.67,2.64,,2.64,,1.54,,1.54,,0,1,0,1,1,0,1,0,-1.0,0.47,-1.0,1.2,-1.0,-1.0,,-1.0,,0.54,,0.54,
positive_edge,2023-24,3113,2023-08-20T14:00:00+00:00,Ligue 1,France,Lorient,Nice,away,Nice,home,Lorient,0.009216,0.291214,0.281998,draw,1,1,2,1,0,0,1,0,1,1,0,0,1,0,0,0,3.42,2.27,3.29,1.9,2.0,1.42,1.64,1.64,1.42,3.06,2.33,2.33,3.06,1,1,1,1,0,0,0,0,2.42,-1.0,-1.0,0.9,-1.0,0.42,0.64,0.64,0.42,-1.0,-1.0,-1.0,-1.0
positive_edge,2023-24,3114,2023-08-20T14:00:00+00:00,Ligue 1,France,Stade de Reims,Clermont Foot,home,Stade de Reims,away,Clermont Foot,0.006676,0.274368,0.267691,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,3.67,1.93,4.4,2.04,1.86,1.96,,1.96,,1.93,,1.93,,0,1,0,1,1,0,1,0,-1.0,0.93,-1.0,1.04,-1.0,-1.0,,-1.0,,0.93,,0.93,
positive_edge,2023-24,3115,2023-08-20T16:05:00+00:00,Ligue 1,France,AS Monaco,Strasbourg,home,AS Monaco,away,Strasbourg,0.040806,0.2708,0.229995,home,3,0,3,0,1,0,0,1,1,0,1,0,0,0,0,0,4.24,1.79,4.33,2.2,1.67,2.32,1.47,2.32,1.47,1.67,2.86,1.67,2.86,0,1,0,1,1,0,1,0,-1.0,0.79,-1.0,-1.0,0.67,-1.0,0.47,-1.0,0.47,0.67,-1.0,0.67,-1.0
positive_edge,2023-24,3117,2023-08-25T20:00:00+00:00,Ligue 1,France,Nantes,AS Monaco,away,AS Monaco,home,Nantes,0.033901,0.280502,0.246601,draw,3,3,6,1,0,0,0,1,0,1,0,0,0,0,0,0,4.02,1.87,4.44,2.1,1.73,1.43,2.35,2.35,1.43,3.01,1.66,1.66,3.01,0,0,0,0,1,1,1,1,3.02,-1.0,-1.0,-1.0,0.73,-1.0,-1.0,-1.0,-1.0,2.01,0.66,0.66,2.01
positive_edge,2023-24,3118,2023-08-26T18:00:00+00:00,Ligue 1,France,Marseille,Brest,home,Marseille,away,Brest,0.059476,0.272287,0.212811,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,4.57,1.52,6.6,2.1,1.73,2.51,,2.51,,1.59,,1.59,,0,1,0,1,1,0,1,0,-1.0,0.52,-1.0,1.1,-1.0,-1.0,,-1.0,,0.59,,0.59,
