subset_mode,season,fixture_id,kickoff_at,league,country,home_team,away_team,favorite_side,favorite_team,underdog_side,underdog_team,draw_edge,model_draw_probability,fair_market_draw_probability,actual_outcome,home_score,away_score,total_goals,draw_hit,favorite_win_hit,underdog_win_hit,under_2_5_hit,over_2_5_hit,under_3_5_hit,btts_yes_hit,btts_no_hit,exact_0_0_hit,exact_1_1_hit,exact_1_0_hit,exact_0_1_hit,exact_2_2_hit,draw_odds,favorite_ml_odds,underdog_ml_odds,under_2_5_odds,over_2_5_odds,home_tt_under_1_5_odds,away_tt_under_1_5_odds,favorite_tt_under_1_5_odds,underdog_tt_under_1_5_odds,home_tt_over_1_5_odds,away_tt_over_1_5_odds,favorite_tt_over_1_5_odds,underdog_tt_over_1_5_odds,home_tt_under_1_5_hit,away_tt_under_1_5_hit,favorite_tt_under_1_5_hit,underdog_tt_under_1_5_hit,home_tt_over_1_5_hit,away_tt_over_1_5_hit,favorite_tt_over_1_5_hit,underdog_tt_over_1_5_hit,draw_profit_units,favorite_ml_profit_units,underdog_ml_profit_units,under_2_5_profit_units,over_2_5_profit_units,home_tt_under_1_5_profit_units,away_tt_under_1_5_profit_units,favorite_tt_under_1_5_profit_units,underdog_tt_under_1_5_profit_units,home_tt_over_1_5_profit_units,away_tt_over_1_5_profit_units,favorite_tt_over_1_5_profit_units,underdog_tt_over_1_5_profit_units
surviving_rule,2023-24,3104,2023-08-13T14:00:00+00:00,Ligue 1,France,Montpellier HSC,Le Havre AC,home,Montpellier HSC,away,Le Havre AC,0.047941,0.302427,0.254486,draw,2,2,4,1,0,0,0,1,0,1,0,0,0,0,0,1,3.83,1.72,5.45,1.73,2.1,1.92,,1.92,,2.03,,2.03,,0,0,0,0,1,1,1,1,2.83,-1.0,-1.0,-1.0,1.1,-1.0,,-1.0,,1.03,,1.03,
surviving_rule,2023-24,3149,2023-09-24T14:00:00+00:00,Ligue 1,France,Lens,Toulouse,home,Lens,away,Toulouse,0.09124,0.303681,0.212441,home,2,1,3,0,1,0,0,1,1,1,0,0,0,0,0,0,4.66,1.5,7.76,2.1,1.73,2.48,,2.48,,1.6,,1.6,,0,1,0,1,1,0,1,0,-1.0,0.5,-1.0,-1.0,0.73,-1.0,,-1.0,,0.6,,0.6,
surviving_rule,2023-24,3158,2023-10-01T14:00:00+00:00,Ligue 1,France,Nice,Brest,home,Nice,away,Brest,0.044197,0.306153,0.261956,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,3.73,1.84,4.72,1.96,1.94,1.93,,1.93,,1.95,,1.95,,1,1,1,1,0,0,0,0,2.73,-1.0,-1.0,0.96,-1.0,0.93,,0.93,,-1.0,,-1.0,
surviving_rule,2023-24,3159,2023-10-01T14:00:00+00:00,Ligue 1,France,Toulouse,Metz,home,Toulouse,away,Metz,0.039339,0.307109,0.267771,home,3,0,3,0,1,0,0,1,1,0,1,0,0,0,0,0,3.63,1.89,4.46,1.89,2.01,1.86,1.42,1.86,1.42,2.04,3.02,2.04,3.02,0,1,0,1,1,0,1,0,-1.0,0.89,-1.0,-1.0,1.01,-1.0,0.42,-1.0,0.42,1.04,-1.0,1.04,-1.0
surviving_rule,2023-24,3163,2023-10-07T16:00:00+00:00,Ligue 1,France,Metz,Nice,away,Nice,home,Metz,0.076236,0.315727,0.239491,away,0,1,1,0,1,0,1,0,1,0,1,0,0,0,1,0,4.06,1.61,6.21,1.92,1.98,,2.06,2.06,,,1.84,1.84,,1,1,1,1,0,0,0,0,-1.0,0.61,-1.0,0.92,-1.0,,1.06,1.06,,,-1.0,-1.0,
surviving_rule,2023-24,3166,2023-10-08T14:00:00+00:00,Ligue 1,France,Brest,Toulouse,home,Brest,away,Toulouse,0.073718,0.327113,0.253395,draw,1,1,2,1,0,0,1,0,1,1,0,0,1,0,0,0,3.85,1.73,5.34,1.89,2.01,2.0,1.39,2.0,1.39,1.88,2.99,1.88,2.99,1,1,1,1,0,0,0,0,2.85,-1.0,-1.0,0.89,-1.0,1.0,0.39,1.0,0.39,-1.0,-1.0,-1.0,-1.0
surviving_rule,2023-24,3170,2023-10-20T20:00:00+00:00,Ligue 1,France,Le Havre AC,Lens,away,Lens,home,Le Havre AC,0.042824,0.307607,0.264783,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,3.57,1.78,4.63,1.7,2.1,,1.89,1.89,,,2.09,2.09,,1,1,1,1,0,0,0,0,2.57,-1.0,-1.0,0.7,-1.0,,0.89,0.89,,,-1.0,-1.0,
surviving_rule,2023-24,3172,2023-10-21T20:00:00+00:00,Ligue 1,France,Nice,Marseille,home,Nice,away,Marseille,0.015556,0.314309,0.298753,home,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,3.27,2.39,3.34,1.84,2.06,1.56,1.41,1.56,1.41,2.42,3.1,2.42,3.1,1,1,1,1,0,0,0,0,-1.0,1.39,-1.0,0.84,-1.0,0.56,0.41,0.56,0.41,-1.0,-1.0,-1.0,-1.0
surviving_rule,2023-24,3174,2023-10-22T14:00:00+00:00,Ligue 1,France,Lille,Brest,home,Lille,away,Brest,0.042656,0.320545,0.27789,home,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,3.52,1.92,4.6,1.92,1.98,1.9,,1.9,,2.04,,2.04,,1,1,1,1,0,0,0,0,-1.0,0.92,-1.0,0.92,-1.0,0.9,,0.9,,-1.0,,-1.0,
surviving_rule,2023-24,3178,2023-10-22T19:45:00+00:00,Ligue 1,France,Lyon,Clermont Foot,home,Lyon,away,Clermont Foot,0.038678,0.306127,0.267449,away,1,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,3.68,1.95,4.32,2.08,1.73,1.93,,1.93,,1.95,,1.95,,1,0,1,0,0,1,0,1,-1.0,-1.0,3.32,-1.0,0.73,0.93,,0.93,,-1.0,,-1.0,
