subset_mode,market,category,fixtures_in_universe,fixtures_in_subset,priced_bets,coverage_pct,hits,hit_rate,baseline_hit_rate,hit_rate_lift,avg_model_probability,avg_odds,roi_units,roi,notes
surviving_rule,draw,priced,571,119,119,1.0,37,0.310924,0.252189,0.058735,,3.868824,25.66,0.21563,historical priced market
surviving_rule,home_tt_under_1_5,priced,571,119,99,0.831933,60,0.606061,0.556918,0.049143,,1.911616,12.33,0.124545,historical priced market
surviving_rule,favorite_tt_under_1_5,priced,571,119,116,0.97479,66,0.568966,0.50613,0.062836,,1.978707,11.88,0.102414,historical priced market
surviving_rule,underdog_tt_under_1_5,priced,571,119,45,0.378151,32,0.711111,0.704028,0.007083,,1.427111,0.32,0.007111,historical priced market
surviving_rule,away_tt_under_1_5,priced,571,119,62,0.521008,38,0.612903,0.654991,-0.042088,,1.685484,-0.13,-0.002097,historical priced market
surviving_rule,under_2_5,priced,571,119,119,1.0,60,0.504202,0.478109,0.026093,,1.949328,-6.42,-0.05395,historical priced market
surviving_rule,favorite_ml,priced,571,119,119,1.0,60,0.504202,0.527145,-0.022944,,1.898655,-7.75,-0.065126,historical priced market
surviving_rule,over_2_5,priced,571,119,119,1.0,59,0.495798,0.521891,-0.026093,,1.919916,-8.92,-0.074958,historical priced market
surviving_rule,away_tt_over_1_5,priced,571,119,62,0.521008,24,0.387097,0.345009,0.042088,,2.489355,-7.11,-0.114677,historical priced market
surviving_rule,favorite_tt_over_1_5,priced,571,119,116,0.97479,50,0.431034,0.49387,-0.062836,,2.001897,-17.65,-0.152155,historical priced market
surviving_rule,underdog_tt_over_1_5,priced,571,119,45,0.378151,13,0.288889,0.295972,-0.007083,,3.027778,-7.57,-0.168222,historical priced market
surviving_rule,home_tt_over_1_5,priced,571,119,99,0.831933,39,0.393939,0.443082,-0.049143,,2.162929,-18.11,-0.182929,historical priced market
surviving_rule,underdog_ml,priced,571,119,119,1.0,22,0.184874,0.218914,-0.03404,,4.905882,-32.78,-0.275462,historical priced market
surviving_rule,exact_0_0,structural_only,571,119,,1.0,16,0.134454,0.085814,0.048639,,,,,no stored historical prices for this market
surviving_rule,exact_1_1,structural_only,571,119,,1.0,14,0.117647,0.096322,0.021325,,,,,no stored historical prices for this market
surviving_rule,exact_1_0,structural_only,571,119,,1.0,15,0.12605,0.105079,0.020972,,,,,no stored historical prices for this market
surviving_rule,under_3_5,structural_only,571,119,,1.0,85,0.714286,0.695271,0.019014,,,,,no stored historical prices for this market
surviving_rule,btts_no,structural_only,571,119,,1.0,59,0.495798,0.483363,0.012436,,,,,no stored historical prices for this market
surviving_rule,exact_2_2,structural_only,571,119,,1.0,7,0.058824,0.054291,0.004533,,,,,no stored historical prices for this market
surviving_rule,btts_yes,structural_only,571,119,,1.0,60,0.504202,0.516637,-0.012436,,,,,no stored historical prices for this market
surviving_rule,exact_0_1,structural_only,571,119,,1.0,7,0.058824,0.075306,-0.016483,,,,,no stored historical prices for this market
