subset_mode,season,fixture_id,kickoff_at,league,country,home_team,away_team,favorite_side,favorite_team,underdog_side,underdog_team,draw_edge,model_draw_probability,fair_market_draw_probability,actual_outcome,home_score,away_score,total_goals,draw_hit,favorite_win_hit,underdog_win_hit,under_2_5_hit,over_2_5_hit,under_3_5_hit,btts_yes_hit,btts_no_hit,exact_0_0_hit,exact_1_1_hit,exact_1_0_hit,exact_0_1_hit,exact_2_2_hit,draw_odds,favorite_ml_odds,underdog_ml_odds,under_2_5_odds,over_2_5_odds,home_tt_under_1_5_odds,away_tt_under_1_5_odds,favorite_tt_under_1_5_odds,underdog_tt_under_1_5_odds,home_tt_over_1_5_odds,away_tt_over_1_5_odds,favorite_tt_over_1_5_odds,underdog_tt_over_1_5_odds,home_tt_under_1_5_hit,away_tt_under_1_5_hit,favorite_tt_under_1_5_hit,underdog_tt_under_1_5_hit,home_tt_over_1_5_hit,away_tt_over_1_5_hit,favorite_tt_over_1_5_hit,underdog_tt_over_1_5_hit,draw_profit_units,favorite_ml_profit_units,underdog_ml_profit_units,under_2_5_profit_units,over_2_5_profit_units,home_tt_under_1_5_profit_units,away_tt_under_1_5_profit_units,favorite_tt_under_1_5_profit_units,underdog_tt_under_1_5_profit_units,home_tt_over_1_5_profit_units,away_tt_over_1_5_profit_units,favorite_tt_over_1_5_profit_units,underdog_tt_over_1_5_profit_units
positive_edge,2023-24,2723,2023-08-20T17:30:00+00:00,Serie A,Italy,AS Roma,Salernitana,home,AS Roma,away,Salernitana,0.009315,0.250543,0.241228,draw,2,2,4,1,0,0,0,1,0,1,0,0,0,0,0,1,4.04,1.56,7.27,1.73,2.1,2.03,,2.03,,1.86,,1.86,,0,0,0,0,1,1,1,1,3.04,-1.0,-1.0,-1.0,1.1,-1.0,,-1.0,,0.86,,0.86,
positive_edge,2023-24,2724,2023-08-20T17:30:00+00:00,Serie A,Italy,Sassuolo,Atalanta,away,Atalanta,home,Sassuolo,0.030812,0.291308,0.260496,away,0,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,3.75,2.09,3.59,2.3,1.62,1.55,2.04,2.04,1.55,2.61,1.84,1.84,2.61,1,0,0,1,0,1,1,0,-1.0,1.09,-1.0,1.3,-1.0,0.55,-1.0,-1.0,0.55,-1.0,0.84,0.84,-1.0
positive_edge,2023-24,2725,2023-08-20T19:45:00+00:00,Serie A,Italy,Lecce,Lazio,away,Lazio,home,Lecce,0.019882,0.31549,0.295608,home,2,1,3,0,0,1,0,1,1,1,0,0,0,0,0,0,3.31,2.17,3.86,1.67,2.2,,1.62,1.62,,,2.43,2.43,,0,1,1,0,1,0,0,1,-1.0,-1.0,2.86,-1.0,1.2,,0.62,0.62,,,-1.0,-1.0,
positive_edge,2023-24,2726,2023-08-20T19:45:00+00:00,Serie A,Italy,Udinese,Juventus,away,Juventus,home,Udinese,0.009674,0.296263,0.286589,away,0,3,3,0,1,0,0,1,1,0,1,0,0,0,0,0,3.41,2.07,4.05,1.73,2.1,,1.71,1.71,,,2.25,2.25,,1,0,0,1,0,1,1,0,-1.0,1.07,-1.0,-1.0,1.1,,-1.0,-1.0,,,1.25,1.25,
positive_edge,2023-24,2727,2023-08-21T17:30:00+00:00,Serie A,Italy,Torino,Cagliari,home,Torino,away,Cagliari,0.021291,0.266423,0.245132,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,3.97,1.61,6.47,1.73,2.1,2.0,,2.0,,1.88,,1.88,,1,1,1,1,0,0,0,0,2.97,-1.0,-1.0,0.73,-1.0,1.0,,1.0,,-1.0,,-1.0,
positive_edge,2023-24,2728,2023-08-21T19:45:00+00:00,Serie A,Italy,Bologna,AC Milan,away,AC Milan,home,Bologna,0.03623,0.31895,0.282719,away,0,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,3.46,2.1,3.89,1.8,2.0,,1.75,1.75,,,2.18,2.18,,1,0,0,1,0,1,1,0,-1.0,1.1,-1.0,0.8,-1.0,,-1.0,-1.0,,,1.18,1.18,
positive_edge,2023-24,2729,2023-08-26T17:30:00+00:00,Serie A,Italy,Frosinone,Atalanta,away,Atalanta,home,Frosinone,0.058818,0.288369,0.229551,home,2,1,3,0,0,1,0,1,1,1,0,0,0,0,0,0,4.24,1.65,5.39,2.2,1.67,,2.31,2.31,,,1.68,1.68,,0,1,1,0,1,0,0,1,-1.0,-1.0,4.39,-1.0,0.67,,1.31,1.31,,,-1.0,-1.0,
positive_edge,2023-24,2730,2023-08-26T17:30:00+00:00,Serie A,Italy,Monza,Empoli,home,Monza,away,Empoli,0.037597,0.29669,0.259093,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,3.77,1.93,4.16,1.83,2.07,1.93,,1.93,,1.95,,1.95,,0,1,0,1,1,0,1,0,-1.0,0.93,-1.0,0.83,-1.0,-1.0,,-1.0,,0.95,,0.95,
positive_edge,2023-24,2731,2023-08-26T19:45:00+00:00,Serie A,Italy,AC Milan,Torino,home,AC Milan,away,Torino,0.025806,0.294382,0.268576,home,4,1,5,0,1,0,0,1,0,1,0,0,0,0,0,0,3.63,1.79,5.22,1.67,2.2,1.85,,1.85,,2.04,,2.04,,0,1,0,1,1,0,1,0,-1.0,0.79,-1.0,-1.0,1.2,-1.0,,-1.0,,1.04,,1.04,
positive_edge,2023-24,2732,2023-08-26T19:45:00+00:00,Serie A,Italy,Hellas Verona,AS Roma,away,AS Roma,home,Hellas Verona,0.001335,0.289601,0.288267,home,2,1,3,0,0,1,0,1,1,1,0,0,0,0,0,0,3.38,1.92,4.77,1.62,2.3,,1.73,1.73,,,2.21,2.21,,0,1,1,0,1,0,0,1,-1.0,-1.0,3.77,-1.0,1.3,,0.73,0.73,,,-1.0,-1.0,
positive_edge,2023-24,2733,2023-08-27T17:30:00+00:00,Serie A,Italy,Fiorentina,Lecce,home,Fiorentina,away,Lecce,0.029413,0.276618,0.247205,draw,2,2,4,1,0,0,0,1,0,1,0,0,0,0,0,1,3.93,1.69,5.46,1.73,2.1,2.03,,2.03,,1.86,,1.86,,0,0,0,0,1,1,1,1,2.93,-1.0,-1.0,-1.0,1.1,-1.0,,-1.0,,0.86,,0.86,
positive_edge,2023-24,2734,2023-08-27T17:30:00+00:00,Serie A,Italy,Juventus,Bologna,home,Juventus,away,Bologna,0.028326,0.280898,0.252572,draw,1,1,2,1,0,0,1,0,1,1,0,0,1,0,0,0,3.86,1.74,5.21,1.97,1.93,2.03,,2.03,,1.87,,1.87,,1,1,1,1,0,0,0,0,2.86,-1.0,-1.0,0.97,-1.0,1.03,,1.03,,-1.0,,-1.0,
positive_edge,2023-24,2735,2023-08-27T19:45:00+00:00,Serie A,Italy,Lazio,Genoa,home,Lazio,away,Genoa,0.02116,0.280686,0.259526,away,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,3.75,1.86,4.48,1.84,2.06,2.0,,2.0,,1.88,,1.88,,1,1,1,1,0,0,0,0,-1.0,-1.0,3.48,0.84,-1.0,1.0,,1.0,,-1.0,,-1.0,
positive_edge,2023-24,2736,2023-08-27T19:45:00+00:00,Serie A,Italy,Napoli,Sassuolo,home,Napoli,away,Sassuolo,0.115693,0.279892,0.164199,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,5.93,1.34,8.92,2.75,1.44,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.34,-1.0,1.75,-1.0,,,,,,,,
positive_edge,2023-24,2738,2023-08-28T19:45:00+00:00,Serie A,Italy,Cagliari,Internazionale,away,Internazionale,home,Cagliari,0.102238,0.298977,0.19674,away,0,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,4.93,1.43,7.76,2.1,1.73,,2.64,2.64,,,1.53,1.53,,1,0,0,1,0,1,1,0,-1.0,0.43,-1.0,1.1,-1.0,,-1.0,-1.0,,,0.53,0.53,
positive_edge,2023-24,2739,2023-09-01T17:30:00+00:00,Serie A,Italy,Sassuolo,Hellas Verona,home,Sassuolo,away,Hellas Verona,0.035828,0.298314,0.262486,home,3,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,3.72,1.96,4.08,2.05,1.85,1.93,1.43,1.93,1.43,1.95,3.05,1.95,3.05,0,1,0,1,1,0,1,0,-1.0,0.96,-1.0,-1.0,0.85,-1.0,0.43,-1.0,0.43,0.95,-1.0,0.95,-1.0
positive_edge,2023-24,2741,2023-09-02T17:30:00+00:00,Serie A,Italy,Bologna,Cagliari,home,Bologna,away,Cagliari,0.0468,0.301265,0.254464,home,2,1,3,0,1,0,0,1,1,1,0,0,0,0,0,0,3.83,1.82,4.64,1.9,2.0,2.05,,2.05,,1.85,,1.85,,0,1,0,1,1,0,1,0,-1.0,0.82,-1.0,-1.0,1.0,-1.0,,-1.0,,0.85,,0.85,
positive_edge,2023-24,2742,2023-09-02T17:30:00+00:00,Serie A,Italy,Udinese,Frosinone,home,Udinese,away,Frosinone,0.01932,0.28902,0.269699,draw,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,3.62,1.93,4.35,1.91,1.99,1.84,,1.84,,2.06,,2.06,,1,1,1,1,0,0,0,0,2.62,-1.0,-1.0,0.91,-1.0,0.84,,0.84,,-1.0,,-1.0,
positive_edge,2023-24,2743,2023-09-02T19:45:00+00:00,Serie A,Italy,Atalanta,Monza,home,Atalanta,away,Monza,0.06103,0.293108,0.232078,home,3,0,3,0,1,0,0,1,1,0,1,0,0,0,0,0,4.19,1.71,4.88,2.1,1.73,2.29,,2.29,,1.68,,1.68,,0,1,0,1,1,0,1,0,-1.0,0.71,-1.0,-1.0,0.73,-1.0,,-1.0,,0.68,,0.68,
positive_edge,2023-24,2744,2023-09-02T19:45:00+00:00,Serie A,Italy,Napoli,Lazio,home,Napoli,away,Lazio,0.061182,0.284478,0.223296,away,1,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,4.36,1.62,5.54,2.04,1.86,2.37,,2.37,,1.65,,1.65,,1,0,1,0,0,1,0,1,-1.0,-1.0,4.54,-1.0,0.86,1.37,,1.37,,-1.0,,-1.0,
positive_edge,2023-24,2745,2023-09-03T17:30:00+00:00,Serie A,Italy,Internazionale,Fiorentina,home,Internazionale,away,Fiorentina,0.036896,0.282675,0.245779,home,4,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,3.98,1.75,5.01,2.0,1.8,2.23,,2.23,,1.72,,1.72,,0,1,0,1,1,0,1,0,-1.0,0.75,-1.0,-1.0,0.8,-1.0,,-1.0,,0.72,,0.72,
positive_edge,2023-24,2747,2023-09-03T19:45:00+00:00,Serie A,Italy,Empoli,Juventus,away,Juventus,home,Empoli,0.06407,0.299619,0.235549,away,0,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,4.13,1.64,5.68,1.96,1.94,,2.19,2.19,,,1.75,1.75,,1,0,0,1,0,1,1,0,-1.0,0.64,-1.0,0.96,-1.0,,-1.0,-1.0,,,0.75,0.75,
positive_edge,2023-24,2749,2023-09-16T14:00:00+00:00,Serie A,Italy,Juventus,Lazio,home,Juventus,away,Lazio,0.01165,0.288566,0.276916,home,3,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,3.5,1.92,4.44,1.73,2.1,1.78,,1.78,,2.14,,2.14,,0,1,0,1,1,0,1,0,-1.0,0.92,-1.0,-1.0,1.1,-1.0,,-1.0,,1.14,,1.14,
positive_edge,2023-24,2750,2023-09-16T17:00:00+00:00,Serie A,Italy,Internazionale,AC Milan,home,Internazionale,away,AC Milan,0.002403,0.277292,0.274889,home,5,1,6,0,1,0,0,1,0,1,0,0,0,0,0,0,3.53,2.13,3.6,2.0,1.9,1.79,1.45,1.79,1.45,2.1,3.0,2.1,3.0,0,1,0,1,1,0,1,0,-1.0,1.13,-1.0,-1.0,0.9,-1.0,0.45,-1.0,0.45,1.1,-1.0,1.1,-1.0
