subset_mode,season,fixture_id,kickoff_at,league,country,home_team,away_team,favorite_side,favorite_team,underdog_side,underdog_team,draw_edge,model_draw_probability,fair_market_draw_probability,actual_outcome,home_score,away_score,total_goals,draw_hit,favorite_win_hit,underdog_win_hit,under_2_5_hit,over_2_5_hit,under_3_5_hit,btts_yes_hit,btts_no_hit,exact_0_0_hit,exact_1_1_hit,exact_1_0_hit,exact_0_1_hit,exact_2_2_hit,draw_odds,favorite_ml_odds,underdog_ml_odds,under_2_5_odds,over_2_5_odds,home_tt_under_1_5_odds,away_tt_under_1_5_odds,favorite_tt_under_1_5_odds,underdog_tt_under_1_5_odds,home_tt_over_1_5_odds,away_tt_over_1_5_odds,favorite_tt_over_1_5_odds,underdog_tt_over_1_5_odds,home_tt_under_1_5_hit,away_tt_under_1_5_hit,favorite_tt_under_1_5_hit,underdog_tt_under_1_5_hit,home_tt_over_1_5_hit,away_tt_over_1_5_hit,favorite_tt_over_1_5_hit,underdog_tt_over_1_5_hit,draw_profit_units,favorite_ml_profit_units,underdog_ml_profit_units,under_2_5_profit_units,over_2_5_profit_units,home_tt_under_1_5_profit_units,away_tt_under_1_5_profit_units,favorite_tt_under_1_5_profit_units,underdog_tt_under_1_5_profit_units,home_tt_over_1_5_profit_units,away_tt_over_1_5_profit_units,favorite_tt_over_1_5_profit_units,underdog_tt_over_1_5_profit_units
surviving_rule,2023-24,2724,2023-08-20T17:30:00+00:00,Serie A,Italy,Sassuolo,Atalanta,away,Atalanta,home,Sassuolo,0.030812,0.291308,0.260496,away,0,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,3.75,2.09,3.59,2.3,1.62,1.55,2.04,2.04,1.55,2.61,1.84,1.84,2.61,1,0,0,1,0,1,1,0,-1.0,1.09,-1.0,1.3,-1.0,0.55,-1.0,-1.0,0.55,-1.0,0.84,0.84,-1.0
surviving_rule,2023-24,2729,2023-08-26T17:30:00+00:00,Serie A,Italy,Frosinone,Atalanta,away,Atalanta,home,Frosinone,0.058818,0.288369,0.229551,home,2,1,3,0,0,1,0,1,1,1,0,0,0,0,0,0,4.24,1.65,5.39,2.2,1.67,,2.31,2.31,,,1.68,1.68,,0,1,1,0,1,0,0,1,-1.0,-1.0,4.39,-1.0,0.67,,1.31,1.31,,,-1.0,-1.0,
surviving_rule,2023-24,2730,2023-08-26T17:30:00+00:00,Serie A,Italy,Monza,Empoli,home,Monza,away,Empoli,0.037597,0.29669,0.259093,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,3.77,1.93,4.16,1.83,2.07,1.93,,1.93,,1.95,,1.95,,0,1,0,1,1,0,1,0,-1.0,0.93,-1.0,0.83,-1.0,-1.0,,-1.0,,0.95,,0.95,
surviving_rule,2023-24,2731,2023-08-26T19:45:00+00:00,Serie A,Italy,AC Milan,Torino,home,AC Milan,away,Torino,0.025806,0.294382,0.268576,home,4,1,5,0,1,0,0,1,0,1,0,0,0,0,0,0,3.63,1.79,5.22,1.67,2.2,1.85,,1.85,,2.04,,2.04,,0,1,0,1,1,0,1,0,-1.0,0.79,-1.0,-1.0,1.2,-1.0,,-1.0,,1.04,,1.04,
surviving_rule,2023-24,2733,2023-08-27T17:30:00+00:00,Serie A,Italy,Fiorentina,Lecce,home,Fiorentina,away,Lecce,0.029413,0.276618,0.247205,draw,2,2,4,1,0,0,0,1,0,1,0,0,0,0,0,1,3.93,1.69,5.46,1.73,2.1,2.03,,2.03,,1.86,,1.86,,0,0,0,0,1,1,1,1,2.93,-1.0,-1.0,-1.0,1.1,-1.0,,-1.0,,0.86,,0.86,
surviving_rule,2023-24,2734,2023-08-27T17:30:00+00:00,Serie A,Italy,Juventus,Bologna,home,Juventus,away,Bologna,0.028326,0.280898,0.252572,draw,1,1,2,1,0,0,1,0,1,1,0,0,1,0,0,0,3.86,1.74,5.21,1.97,1.93,2.03,,2.03,,1.87,,1.87,,1,1,1,1,0,0,0,0,2.86,-1.0,-1.0,0.97,-1.0,1.03,,1.03,,-1.0,,-1.0,
surviving_rule,2023-24,2735,2023-08-27T19:45:00+00:00,Serie A,Italy,Lazio,Genoa,home,Lazio,away,Genoa,0.02116,0.280686,0.259526,away,0,1,1,0,0,1,1,0,1,0,1,0,0,0,1,0,3.75,1.86,4.48,1.84,2.06,2.0,,2.0,,1.88,,1.88,,1,1,1,1,0,0,0,0,-1.0,-1.0,3.48,0.84,-1.0,1.0,,1.0,,-1.0,,-1.0,
surviving_rule,2023-24,2736,2023-08-27T19:45:00+00:00,Serie A,Italy,Napoli,Sassuolo,home,Napoli,away,Sassuolo,0.115693,0.279892,0.164199,home,2,0,2,0,1,0,1,0,1,0,1,0,0,0,0,0,5.93,1.34,8.92,2.75,1.44,,,,,,,,,0,1,0,1,1,0,1,0,-1.0,0.34,-1.0,1.75,-1.0,,,,,,,,
surviving_rule,2023-24,2738,2023-08-28T19:45:00+00:00,Serie A,Italy,Cagliari,Internazionale,away,Internazionale,home,Cagliari,0.102238,0.298977,0.19674,away,0,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,4.93,1.43,7.76,2.1,1.73,,2.64,2.64,,,1.53,1.53,,1,0,0,1,0,1,1,0,-1.0,0.43,-1.0,1.1,-1.0,,-1.0,-1.0,,,0.53,0.53,
surviving_rule,2023-24,2739,2023-09-01T17:30:00+00:00,Serie A,Italy,Sassuolo,Hellas Verona,home,Sassuolo,away,Hellas Verona,0.035828,0.298314,0.262486,home,3,1,4,0,1,0,0,1,0,1,0,0,0,0,0,0,3.72,1.96,4.08,2.05,1.85,1.93,1.43,1.93,1.43,1.95,3.05,1.95,3.05,0,1,0,1,1,0,1,0,-1.0,0.96,-1.0,-1.0,0.85,-1.0,0.43,-1.0,0.43,0.95,-1.0,0.95,-1.0
surviving_rule,2023-24,2743,2023-09-02T19:45:00+00:00,Serie A,Italy,Atalanta,Monza,home,Atalanta,away,Monza,0.06103,0.293108,0.232078,home,3,0,3,0,1,0,0,1,1,0,1,0,0,0,0,0,4.19,1.71,4.88,2.1,1.73,2.29,,2.29,,1.68,,1.68,,0,1,0,1,1,0,1,0,-1.0,0.71,-1.0,-1.0,0.73,-1.0,,-1.0,,0.68,,0.68,
surviving_rule,2023-24,2744,2023-09-02T19:45:00+00:00,Serie A,Italy,Napoli,Lazio,home,Napoli,away,Lazio,0.061182,0.284478,0.223296,away,1,2,3,0,0,1,0,1,1,1,0,0,0,0,0,0,4.36,1.62,5.54,2.04,1.86,2.37,,2.37,,1.65,,1.65,,1,0,1,0,0,1,0,1,-1.0,-1.0,4.54,-1.0,0.86,1.37,,1.37,,-1.0,,-1.0,
surviving_rule,2023-24,2745,2023-09-03T17:30:00+00:00,Serie A,Italy,Internazionale,Fiorentina,home,Internazionale,away,Fiorentina,0.036896,0.282675,0.245779,home,4,0,4,0,1,0,0,1,0,0,1,0,0,0,0,0,3.98,1.75,5.01,2.0,1.8,2.23,,2.23,,1.72,,1.72,,0,1,0,1,1,0,1,0,-1.0,0.75,-1.0,-1.0,0.8,-1.0,,-1.0,,0.72,,0.72,
surviving_rule,2023-24,2747,2023-09-03T19:45:00+00:00,Serie A,Italy,Empoli,Juventus,away,Juventus,home,Empoli,0.06407,0.299619,0.235549,away,0,2,2,0,1,0,1,0,1,0,1,0,0,0,0,0,4.13,1.64,5.68,1.96,1.94,,2.19,2.19,,,1.75,1.75,,1,0,0,1,0,1,1,0,-1.0,0.64,-1.0,0.96,-1.0,,-1.0,-1.0,,,0.75,0.75,
surviving_rule,2023-24,2751,2023-09-16T19:45:00+00:00,Serie A,Italy,Genoa,Napoli,away,Napoli,home,Genoa,0.041033,0.295339,0.254306,draw,2,2,4,1,0,0,0,1,0,1,0,0,0,0,0,1,3.88,1.7,5.97,2.0,1.8,,2.08,2.08,,,1.82,1.82,,0,0,0,0,1,1,1,1,2.88,-1.0,-1.0,-1.0,0.8,,-1.0,-1.0,,,0.82,0.82,
surviving_rule,2023-24,2753,2023-09-17T14:00:00+00:00,Serie A,Italy,Frosinone,Sassuolo,away,Sassuolo,home,Frosinone,0.022336,0.294101,0.271765,home,4,2,6,0,0,1,0,1,0,1,0,0,0,0,0,0,3.6,2.42,3.02,2.04,1.86,1.64,1.83,1.83,1.64,2.39,2.08,2.08,2.39,0,0,0,0,1,1,1,1,-1.0,-1.0,2.02,-1.0,0.86,-1.0,-1.0,-1.0,-1.0,1.39,1.08,1.08,1.39
surviving_rule,2023-24,2756,2023-09-17T19:45:00+00:00,Serie A,Italy,AS Roma,Empoli,home,AS Roma,away,Empoli,0.085684,0.287399,0.201716,home,7,0,7,0,1,0,0,1,0,0,1,0,0,0,0,0,4.83,1.41,9.08,1.95,1.95,2.64,,2.64,,1.54,,1.54,,0,1,0,1,1,0,1,0,-1.0,0.41,-1.0,-1.0,0.95,-1.0,,-1.0,,0.54,,0.54,
surviving_rule,2023-24,2761,2023-09-23T14:00:00+00:00,Serie A,Italy,AC Milan,Hellas Verona,home,AC Milan,away,Hellas Verona,0.095807,0.277325,0.181517,home,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,5.32,1.35,9.36,2.1,1.73,2.67,,2.67,,1.49,,1.49,,1,1,1,1,0,0,0,0,-1.0,0.35,-1.0,1.1,-1.0,1.67,,1.67,,-1.0,,-1.0,
